"Category","Module","Controller","Action/API","HTTP Method","DB Package","DB Procedure","Business IDs available","Audit Action Name","Coverage Status","Reason"
"ADMINISTRATION","","AdministrationPanel","add_group_item_assignment","UNKNOWN","pkg_ad","p_AddGroupMenuItemsAssignment","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","AdministrationPanel","add_group_item_assignment","UNKNOWN","pkg_ad","P_RemoveGroupMenuItemsAssignment","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","AdministrationPanel","assigned_menu_pages","UNKNOWN","pkg_ad","P_GetAssignedMenuPages","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"CHECKLIST","","AdministrationPanel","authorize_audit_checklist","UNKNOWN","pkg_ad","p_Get_updated_Checklist_for_review","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","DeleteSystemLogs","UNKNOWN","PKG_LG","P_DELETE_SYS_LOGS","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","AdministrationPanel","entity_addition","UNKNOWN","pkg_ad","p_get_audited_by","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","entity_addition","UNKNOWN","pkg_ad","P_Get_Entity_type","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","entity_addition","UNKNOWN","pkg_ad","P_Getrealtionshiptype","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","entity_shifting","UNKNOWN","pkg_ad","p_get_audited_by","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","entity_shifting","UNKNOWN","pkg_ad","P_Get_Entity_type","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","entity_shifting","UNKNOWN","pkg_ad","P_Getrealtionshiptype","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
