"PackageName","ProcedureCall","Status","Modules","Methods","ReadObjects","WriteObjects","ObjectRefs","MappingFound","RecommendedTreatment"
"PKG_AD","PKG_AD.P_GETALLTOPMENUS","Confirmed Active","AD","GetAllTopMenus","T_MENU","","T_CURSOR; T_MENU","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETALLMENUPAGES","Confirmed Active","AD","GetAllMenuPages","T_MENU_PAGES","","T_MENU_PAGES; T_CURSOR","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETASSIGNEDMENUPAGES","Confirmed Active","AD","GetAssignedMenuPages","T_MENU_PAGES; T_MENU_PAGES_GROUPMAP","","T_MENU_PAGES_GROUPMAP; T_MENU_PAGES; T_CURSOR","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_UPDATEALLMENUPAGES","Confirmed Active","AD","UpdateMenuPagesAssignment","","T_MENU_PAGES","T_MENU_PAGES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETGROUPS","Confirmed Active","AD","GetGroups","T_GROUPS","","T_CURSOR; T_GROUPS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_ADDGROUP","Confirmed Active","AD","AddGroup","T_GROUPS","T_GROUPS","T_GROUPS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GROUP_UPDATE","Confirmed Active","AD","AddGroup","","T_GROUPS","T_GROUPS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETROLERESPONSIBILITIES","Confirmed Active","AD","GetHRDesignation; GetRoleResponsibilities","T_HR_DESIGNATIONS","","T_CURSOR; T_HR_DESIGNATIONS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_ANNEXURE","Confirmed Active","AD","GetAnnexuresForChecklistDetail","T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_ALLUSERS","Confirmed Active","AD","GetAllUsers; GetMatchedPPNumbers","V_SERVICE_EMPLOYEEINFO; T_USER; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING; T_GROUPS","","T_USER; V_SERVICE_EMPLOYEEINFO; T_GROUPS; T_CURSOR; V_EMAIL; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_ADD_NEW_USER","Confirmed Active","AD","AddNewUser","T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO; DUAL","T_USER_MAPING; T_USER","T_CURSOR; T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_ENTITY_TYPE","Confirmed Active","AD","GetAuditEntityTypes","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_AUDITED_BY","Confirmed Active","AD","GetAuditBy","T_AUDIT_DEPARTMENTS","","T_CURSOR; T_AUDIT_DEPARTMENTS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETAUDITEEENTITYTYPES","Confirmed Active","AD","GetAuditeeEntities; GetEntityTypeList","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETENTITEES_FOR_UPDATE","Confirmed Active","AD","GetAuditeeEntitiesForUpdate","T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ","","T_CURSOR; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETENTITEES_FOR_UPDATE_COMP","Confirmed Active","AD","GetAuditeeEntitiesForUpdateForAuthorization","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","T_CURSOR; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETENTITEES_FOR_UPDATE_AUTHORIZATION","Confirmed Active","AD","GetAuditeeEntitiesForAuthorization","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","T_CURSOR; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_UPDATE_ENTITIES","Confirmed Active","AD","UpdateAuditeeEntity","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; TO","T_CURSOR; V_NEW_ID; V_PENDING_COUNT; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_AUDITEE_ENTITIES","Confirmed Active","AD","GetAISEntities","T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES","","T_ID; T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_CBAS_ENTITIES","Confirmed Active","AD","GetCBASEntities","V_GET_CBAS_ENTITIES","","T_CURSOR; V_GET_CBAS_ENTITIES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_ERP_ENTITIES","Confirmed Active","AD","GetERPEntities","DUAL; V_ERP_DEPARTMENTS","","T_CURSOR; V_ERP_DEPARTMENTS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GET_HR_ENTITIES","Confirmed Active","AD","GetHREntities; GetHREntitiesForAdminPanelEntityAddition","V_GET_HR_ENTITIES","","T_CURSOR; V_GET_HR_ENTITIES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_ADDAUDITENTITY","Confirmed Active","AD","AddAuditEntity","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES","True","Keep within future-state module design"
"PKG_AD","PKG_AD.P_GETAUDITSUBENTITIES","Low-Confidence / Needs Verification","AD","GetAuditSubEntities","T_AUDITEE_ENTITEE_SUBENTITY","","T_CURSOR; T_AUDITEE_ENTITEE_SUBENTITY","True","Investigate before exclusion; package source not fully mapped"
"PKG_AD","PKG_AD.UPDATE_USERS","Confirmed Active","AD","UpdateUser","T_USER_MAPING; T_USER; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","T_USER; T_USER_MAPING; T_EMAIL_ADDRESS; T_EMP_EMAILS","T_USER; T_USER_MAPING; T_CURSOR; V_COUNT; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","True","Keep within future-state module design"
"PKG_AD","PKG_AD.RESET_USER_PASSWORD","Confirmed Active","AD","ResetUserPassword","T_USER; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; DUAL; V_SERVICE_EMPLOYEEINFO; V_EMAILS","PASSWORD; T_USER","T_USER; T_CURSOR; V_ENT_TYPE; V_ENT_ID; V_EMP_CNIC_RAW; V_EMP_CNIC_NORM; V_CNIC_NORM; V_EMAIL_PRIMARY; V_EMAIL_BRANCH; V_EMP_NAME; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; V_SERVICE_EMPLOYEEINFO; V_EMAILS","True","Keep within future-state module design"
