"FileName","Module","PublicMethodCount","CalledPublicMethods","Procedures","Controllers"
"DBConnection.AD.cs","AD","183","179","pkg_ad.audit_checklist_detail_update; pkg_ad.P_ADD_ANNEXURE; pkg_ad.P_add_branch_annex_risk_rating; pkg_ad.P_add_branch_risk_rating; pkg_ad.P_ADD_COM_OFFICER; pkg_ad.P_add_Entities_Audit_Department; pkg_ad.P_ADD_ENTITIES_MAPPING; pkg_ad.P_Add_Entity_shifting; pkg_ad.P_ADD_HR_DESIGNATION_RIGHT; pkg_ad.P_ADD_NEW_PAGE; pkg_ad.P_ADD_NEW_SUB_MENU; pkg_ad.P_add_new_user; pkg_ad.P_add_Obs_status; pkg_ad.P_ADD_UPDATE_COMPLIANCE_FLOW; PKG_AD.P_ADD_VERSION_HISTORY; pkg_ad.P_AddAuditEntity; pkg_ad.p_AddGroup; pkg_ad.p_AddGroupMenuItemsAssignment; pkg_ad.P_AddSubEntity; pkg_ad.p_approve_checklist_By_Authorizer; pkg_ad.p_Approved_Sub_Process_By_Authorizer; pkg_ad.P_audit_checklist; pkg_ad.P_audit_checklist_detail; pkg_ad.P_audit_checklist_sub; pkg_ad.P_audit_checklist_sub_update; pkg_ad.P_audit_checklist_update; pkg_ad.p_audit_engagement_reversal; pkg_ad.p_audit_observation_reversal; pkg_ad.p_audit_team_postchanges; pkg_ad.P_AUTHORIZE_DUPLICATE_CHECKLIST_DETAILS; pkg_ad.P_AUTHORIZE_MERGER_CHECKLIST; pkg_ad.P_AUTHORIZE_MERGER_CHECKLIST_SUB; pkg_ad.P_GET_AIS_ENTITIES; pkg_ad.P_GET_ALL_MENU; pkg_ad.P_GET_ALL_PAGES; pkg_ad.p_get_allusers; pkg_ad.p_get_annexure; pkg_ad.p_get_annexure_process; pkg_ad.p_get_annexure_risk_rating; pkg_ad.P_Get_Audit_budget; pkg_ad.P_Get_Audit_EMP; pkg_ad.p_get_audit_engagement; pkg_ad.p_get_audit_engagement_status; pkg_ad.P_Get_Audit_Manpower; pkg_ad.p_get_audit_observtion; pkg_ad.p_get_audit_observtion_status; pkg_ad.p_get_audit_team_postchanges; pkg_ad.p_get_audited_by; pkg_ad.p_get_auditee_engagement; pkg_ad.P_get_auditee_entities; pkg_ad.P_get_auditee_entities_mapping; pkg_ad.P_GET_CBAS_ENTITIES; pkg_ad.P_get_certification; pkg_ad.p_Get_Checklist_MERGER_FOR_REVIEW; pkg_ad.P_get_checklist_update_byid; pkg_ad.P_get_checklist_update_byid_ref; pkg_ad.p_Get_ChecklistDetail_FOR_DUPLICATE; pkg_ad.p_get_checklistdetail_for_subchecklist; pkg_ad.p_get_compliance_hierarchy ; pkg_ad.P_GET_COMPLIANCE_OFFICE; pkg_ad.P_get_compliance_statuses_for_compliance_flow; pkg_ad.P_Get_details_for_entity_shifting; pkg_ad.P_GET_DUPLICATE_CHECKLIST_DETAILS; pkg_ad.P_GET_DUPLICATE_CHECKLIST_DETAILS_COUNT; pkg_ad.P_GET_DUPLICATE_CHECKLIST_DETAILS_DROPDOWN; pkg_ad.P_get_ent_types_for_compliance_flow; pkg_ad.P_get_ent_types_for_hr_designation; pkg_ad.P_get_entities; pkg_ad.P_Get_Entities_Audit_Department; pkg_ad.P_GET_ENTITIES_MAPPING; pkg_ad.P_GET_ENTITIES_MAPPING_REPORTING; pkg_ad.P_Get_Entities_Relationship; pkg_ad.P_Get_Entities_types; pkg_ad.P_GET_ENTITY_FOR_PARA_Reconsilation; pkg_ad.P_Get_Entity_Risk; pkg_ad.P_Get_Entity_type; pkg_ad.P_get_entity_type_compliance_flow; pkg_ad.P_GET_ERP_ENTITIES; pkg_ad.P_get_GL_Heads; pkg_ad.P_GET_GM_OFFICE; pkg_ad.P_get_hr_designation; pkg_ad.P_GET_HR_DESIGNATION_RIGHT; pkg_ad.P_GET_HR_ENTITIES; pkg_ad.P_get_hr_posting; pkg_ad.P_get_hr_rank; pkg_ad.P_get_latest_para_details; pkg_ad.p_get_new_risk_model ; pkg_ad.P_get_new_user; pkg_ad.P_Get_Obs_Status; pkg_ad.P_Get_observvation_no; pkg_ad.P_GET_PUBLIC_HOLIDAY_DAY; pkg_ad.P_GET_PUBLIC_HOLIDAYS; pkg_ad.P_get_qualification; pkg_ad.P_get_qualification_specialization; pkg_ad.P_get_roles_for_compliance_flow; pkg_ad.P_GET_RPT_OFFICE; pkg_ad.p_GET_SUB_CHECKLIST_MAKER; pkg_ad.p_Get_sub_Checklist_MERGER_FOR_REVIEW; pkg_ad.P_get_sub_checklist_update_byid; pkg_ad.P_GET_SUB_MENUS; pkg_ad.P_GET_SUBCHECKILIST; pkg_ad.p_get_traditional_risk_rating; pkg_ad.p_Get_updated_Checklist_for_review; pkg_ad.p_Get_updated_Sub_Checklist_for_review; PKG_AD.P_GET_USER_ENTITIES; pkg_ad.P_get_user_role_type; PKG_AD.P_GET_VERSION_HISTORY; pkg_ad.p_GetAllMenuPages; pkg_ad.P_GetAllTopMenus; pkg_ad.P_GetAssignedMenuPages; pkg_ad.P_GetAuditeeEntityTypes; pkg_ad.P_GetAuditeeRisk; pkg_ad.P_GetAuditeeRisk_details; pkg_ad.P_GetAuditSubEntities; pkg_ad.P_GetAuditZones; pkg_ad.P_GetBranches; pkg_ad.P_GetBranchSizes; pkg_ad.p_GetChecklistDetail_ref; pkg_ad.p_GetChecklistDetailBySubProcessId; pkg_ad.P_Getchildposting; pkg_ad.P_GetControlViolations; pkg_ad.P_GetEntitees_for_update; pkg_ad.P_GetEntitees_for_update_authorization; pkg_ad.P_GetEntitees_for_update_comp; pkg_ad.P_GetGroups; pkg_ad.P_GetLatestCommentsOnProcess; pkg_ad.P_Getparentrepoffice; pkg_ad.P_Getrealtionshiptype; pkg_ad.P_GetRiskProcessDetails; pkg_ad.P_GetRiskProcessTransactions; pkg_ad.P_GetRisks; pkg_ad.P_GetRoleResponsibilities; pkg_ad.P_GetSubEntities; pkg_ad.P_GetZones; pkg_ad.P_GetZonesForHoMointoring; pkg_ad.P_Group_Update; PKG_AD.P_INSERT_PUBLIC_HOLIDAY; pkg_ad.P_InsertENTITIEES; pkg_ad.p_merge_checklist; pkg_ad.p_merge_sub_checklist; pkg_ad.P_Recommend_Checklist_By_Reviewer; pkg_ad.p_RefferedBack_checklist_By_Authorizer; pkg_ad.P_RefferedBack_checklist_By_Reviewer; pkg_ad.p_RefferedBack_Sub_checklist_By_Reviewer; pkg_ad.P_REMOVE_DUPLICATE_CHECKLIST_DETAILS; pkg_ad.P_RemoveGroupMenuItemsAssignment; pkg_ad.P_Shift_BR_to_islamic; pkg_ad.p_update_annexure; pkg_ad.P_update_audit_budget; pkg_ad.P_update_audit_emp; pkg_ad.P_update_audit_manpower; pkg_ad.P_UPDATE_COM_OFFICER; pkg_ad.P_UPDATE_COMPLIANCE_FLOW; pkg_ad.P_UPDATE_ENG_DATE; pkg_ad.P_UPDATE_ENTITIES; pkg_ad.P_update_entities_audit_department; pkg_ad.P_UPDATE_ENTITIES_MAPPING; pkg_ad.P_update_Entities_types; pkg_ad.P_UPDATE_ENTITY_COMP; pkg_ad.P_UPDATE_GM_OFFICE_RELATIONSHIP; pkg_ad.P_UPDATE_HR_DESIGNATION_RIGHT; pkg_ad.P_UPDATE_NEW_USER; pkg_ad.P_update_Obs_status; pkg_ad.P_Update_observation_no; pkg_ad.P_UPDATE_PAGE; pkg_ad.P_Update_para_AIS_post_compliance; pkg_ad.P_UPDATE_RPT_OFFICE_RELATIONSHIP; pkg_ad.P_UPDATE_SUB_MENU; PKG_AD.P_UPDATE_VERSION_HISTORY; pkg_ad.P_updateAllMenuPages; pkg_ad.P_UpdateENTITIEES; pkg_ad.P_UpdateSubEntity; pkg_ad.RESET_USER_PASSWORD; pkg_ad.UPDATE_USERS","AdministrationPanelController.cs; ApiCallsController.cs; ArchiveController.cs; CatalogController.cs; EngagementController.cs; ExecutionController.cs; FADController.cs; FieldAuditController.cs; HMController.cs; LoginController.cs; ManagementAuditController.cs; PlanningController.cs; ReportsController.cs; RiskAssessmentController.cs; SamplingController.cs; SetupController.cs"
"DBConnection.AdminCatalog.cs","AdminCatalog","10","10","PKG_AD.P_CHECK_API_UNIQUE; PKG_AD.P_GET_ALL_CONTROLLER; PKG_AD.P_GET_API_MASTER; PKG_AD.P_GET_DASHBOARD_QUICK_LINKS; PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG; PKG_AD.P_GET_ROLE_DASHBOARD_PAGES; PKG_AD.P_MAINT_API_MASTER; PKG_AD.P_MAINT_ROLE_DASHBOARD_PAGE","ApiMasterController.cs; CatalogController.cs; DashboardLayoutController.cs; HomeController.cs"
"DBConnection.AE.cs","AE","45","40","pkg_ae.P_AddOldParasReply; pkg_ae.P_AddOldParasReviewer; pkg_ae.P_AUDITEE_OBSERVATION_RESPONSE; pkg_ae.P_AUDITEE_OBSERVATION_RESPONSE_EVIDENCES; pkg_ae.P_FORWARD_CAU_PARA_TO_BRANCH; pkg_ae.P_get_v_auditee_paras_compliance_history_auditee_text; pkg_ae.P_get_v_auditee_paras_compliance_history_num_auditee; pkg_ae.P_GetAllCompliance_Evidence_CAU; pkg_ae.p_GetAssignedObservations; pkg_ae.P_GetAssignedObservationsForBranch; pkg_ae.P_GetAuditeeAllParasFAD; pkg_ae.P_GetAuditeeAssignedEntities; pkg_ae.P_GetAuditeeOldParas; pkg_ae.P_GetAuditeeOldParasentitiesFAD; pkg_ae.P_GetAuditeeOldParasFADText_Ref; pkg_ae.P_GetAuditeeOldParasFADtext_Reviewer; pkg_ae.P_GetAuditeeOldParasFADtext_Reviewer_Ref; pkg_ae.P_GetCCQsEntities; pkg_ae.P_GetchildpostingforCAU; pkg_ae.p_GetCOSORisks; pkg_ae.P_GetObservationResponsible; pkg_ae.P_GetObservationText; pkg_ae.P_GetOldParaManagement; pkg_ae.p_getoldparasforreviewer; pkg_ae.p_getoldparasforreviewer_ref; pkg_ae.p_GetParaComplianceResponsible; pkg_ae.P_GetParasForCompliance_CAU_para_text; pkg_ae.P_GetParasForComplianceByAuditee; pkg_ae.P_GetParasForComplianceByAuditee_text; pkg_ae.P_GetParasForComplianceByCAU; pkg_ae.P_GetParasForComplianceByCAU_BY_BRANCH; pkg_ae.P_GetParasForComplianceByCAU_FOR_REVIEW; pkg_ae.P_GetParasForComplianceforhistory; pkg_ae.P_GetParasForCompliancehistory; pkg_ae.P_GetParasForCompliancereview ; pkg_ae.P_GetparentrepofficeforCAU; pkg_ae.P_GetPostAuditCompliance_Evidence; pkg_ae.P_GetPostAuditCompliance_Evidence_FileData; pkg_ae.P_GetPostAuditCompliance_Evidence_FileData_CAU; pkg_ae.P_GetrealtionshiptypeforCAU; pkg_ae.P_SubmitPostAuditCompliance; pkg_ae.P_SubmitPostAuditCompliance_BY_BRANCH; pkg_ae.P_SubmitPostAuditCompliance_Evidence; pkg_ae.P_SubmitPostAuditCompliance_Evidence_By_BRANCH; pkg_ae.P_SubmitPostAuditCompliance_review; pkg_ae.P_UpdateAuditeeOldParasresponse; pkg_ae.P_updateoldparamanagement; pkg_ar.P_get_AUDITEE_OBSERVATION_RESPONSE_evidences; pkg_ar.P_GetOBSERVATIONSAUDITEERESPONSE","ApiCallsController.cs; ArchiveController.cs; AuditeePortalController.cs; PostComplianceController.cs"
"DBConnection.AR.cs","AR","91","84"," pkg_ar.P_get_employees_information; pkg_ar.AUDITOR_REPLY; pkg_ar.AUDITOR_RESPONSE; pkg_ar.P_add_dsa_checkilist; pkg_ar.p_add_para_responsibility; pkg_ar.P_AddAccountOpeningDetails; pkg_ar.P_AddCashCounterDetails; pkg_ar.P_AddFixedAssetsDetails; pkg_ar.P_AddJoiningReport; pkg_ar.P_AddLoanCaseFile; pkg_ar.P_AddVoucherChecking; pkg_ar.P_Authorize_Para_Gist; pkg_ar.P_Authorize_Update_Audit_Paras; pkg_ar.P_CloseAudit; pkg_ar.P_Delete_Legacy_Para_HO; pkg_ar.p_delete_para_responsibility; pkg_ar.P_draft_dsa; pkg_ar.P_DropAuditObservation; pkg_ar.P_get_AUDITEE_OBSERVATION_RESPONSE_evidences_by_obs_id; pkg_ar.P_get_AUDITEE_OBSERVATION_RESPONSE_evidences_FileData; pkg_ar.p_get_auditee_submission_list; pkg_ar.P_get_details_for_manage_observations; pkg_ar.P_get_details_for_manage_observations_summary; pkg_ar.P_get_details_for_manage_observations_text; pkg_ar.P_get_dsa_content; pkg_ar.P_get_dsa_guidline; pkg_ar.P_get_dsa_list; pkg_ar.P_get_entities_for_manage_observations; pkg_ar.P_GET_LC_DETAILS; pkg_ar.p_get_legacy_para_responsibles; pkg_ar.P_get_legacy_para_to_authorize; pkg_ar.P_Get_responsibility; pkg_ar.P_GetAccountOpeningDetails; pkg_ar.P_GetAuditChecklist; pkg_ar.P_GetAuditChecklistCAD; pkg_ar.P_GetAuditChecklistDetails; pkg_ar.P_GetAuditChecklistDetails_search; pkg_ar.p_GetAuditChecklistSub; pkg_ar.p_getauditeecheckklist; pkg_ar.P_GetAuditVoilationcats; pkg_ar.P_GetCashCounterDetails; pkg_ar.p_GetClosingDraftObservations; pkg_ar.P_GetEntitiesForLegacyPara; pkg_ar.P_GetEntitiesForLegacyPara_HO; pkg_ar.P_GetEntitiesForLegacyPara_ho_report; pkg_ar.P_GetFixedAssetsDetails; pkg_ar.P_GetJoiningDetails; pkg_ar.P_GetLatestAuditeeResponse; pkg_ar.P_GetLatestAuditorResponse; pkg_ar.P_GetLatestDepartmentalHeadResponse; pkg_ar.P_GetLeagacyObservations; pkg_ar.P_GetLeagacyObservations_for_gist_update; pkg_ar.P_GetLeagacyObservations_ho; pkg_ar.P_GetLoanCaseFile; pkg_ar.p_GetManageAuditParasEntities; pkg_ar.P_GetManagedDraftObservations; pkg_ar.P_GetManagedDraftObservationsbranch; pkg_ar.P_GetManagedDraftObservationsForBranches; pkg_ar.P_GetManagedDraftObservationsText; pkg_ar.P_GetManagedObservations; pkg_ar.P_GetManagedObservationsForBranches; pkg_ar.P_GetManagedObservationsForBranchesText; pkg_ar.P_GetManagedObservationstext; pkg_ar.P_GetManagedObservationsText; pkg_ar.p_GetObservationEntities; pkg_ar.p_GetRiskActivities; pkg_ar.P_GetRiskGroup; pkg_ar.P_GetRiskSubGroup; pkg_ar.P_GetTaskList; pkg_ar.P_GetVoilationSubGroup; pkg_ar.P_GetVoucherChecking; pkg_ar.P_no_update_legacy_Para_text; pkg_ar.P_reffered_back_dsa_by_dpd; pkg_ar.P_reffered_back_dsa_by_head_fad; pkg_ar.P_responibilityassigned; pkg_ar.P_SaveAuditObservation; pkg_ar.P_SaveAuditObservationCAD; pkg_ar.P_SetEngIdOnHold; pkg_ar.P_Settel_Legacy_Para_HO; pkg_ar.P_submit_dsa_by_dpd_to_committee; pkg_ar.P_submit_dsa_by_head_fad_to_dpd; pkg_ar.P_submit_dsa_to_head_fad; pkg_ar.P_SubmitAuditObservationToAuditee; pkg_ar.P_Update_Audit_Paras; pkg_ar.P_update_dsa_heading; pkg_ar.P_update_legacy_Para_Gist; pkg_ar.P_update_legacy_Para_text; pkg_ar.P_UpdateAuditObservationStatus; pkg_ar.P_UpdateAuditObservationStatusByHead; pkg_ar.P_UpdateObservation","ApiCallsController.cs; ArchiveController.cs; AuditeePortalController.cs; EngagementController.cs; ExecutionController.cs; FADController.cs; FieldAuditController.cs; ManagementAuditController.cs; ObservationPdfController.cs; ReportsController.cs; SetupController.cs; UploadFileController.cs"
"DBConnection.BAC.cs","BAC","10","10","pkg_bac.P_BAC_AGENDA; pkg_bac.P_Bac_get_actionable; pkg_bac.P_Bac_get_actionable_meetings_with_status; pkg_bac.P_Bac_get_actionable_snap; pkg_bac.P_Bac_get_actionable_sum; pkg_bac.P_CIA_ANALYSIS; pkg_bac.P_CIA_ANALYSIS_DETAILS; pkg_bac.P_CIA_ANALYSIS_DETAILS_PARA; pkg_bac.P_CIA_ANALYSIS_SUMMARY","ApiCallsController.cs; BACController.cs"
"DBConnection.CAD.cs","CAD","17","9","PKG_HD.P_APPROVE_REQUEST; PKG_HD.P_GET_REQUEST_HISTORY; PKG_HD.P_GET_REQUESTS; PKG_HD.P_GET_SBP_HISTORY; PKG_HD.P_GET_SBP_OBS_TYPES; PKG_HD.P_GET_SBP_REGISTER; PKG_HD.P_GET_SBP_RESPONSE; PKG_HD.P_INSERT_SBP_OBSERVATION; PKG_HD.P_INSERT_SBP_RESPONSE; PKG_HD.P_REJECT_REQUEST; PKG_HD.P_REQUEST_DELETE_OBSERVATION; PKG_HD.P_REQUEST_DELETE_RESPONSE; PKG_HD.P_REQUEST_REVERSE; pkg_hd.P_Update_Cad_Passwrod; PKG_HD.P_UPDATE_SBP_OBSERVATION; PKG_HD.P_UPDATE_SBP_RESPONSE; PKG_HD.P_VALIDATE_SBP_PASSWORD","ApiCallsController.cs; HMController.cs"
"DBConnection.CAU.cs","CAU","12","12","PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_DAC_ENTRIES; PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_HEADERS; PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PAC_ENTRIES; PKG_COMMERCIAL_AUDIT.P_GET_OMS; PKG_COMMERCIAL_AUDIT.P_GET_PDP_OM_MAP; PKG_COMMERCIAL_AUDIT.P_GET_PDPS; PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE; PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_DAC; PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PAC; PKG_COMMERCIAL_AUDIT.P_SAVE_OM; PKG_COMMERCIAL_AUDIT.P_SAVE_PDP; PKG_COMMERCIAL_AUDIT.P_SAVE_PDP_OM_MAP","ApiCallsController.cs"
"DBConnection.cs","cs","109","84","pkg_ai.P_GetBranchDesbursementAccountdetails; pkg_AI.P_GetDepositACCOUNTCATEGORY; pkg_ai.P_GetDepositAccountSubdetails; pkg_ai.p_getglheadsum; pkg_ai.p_getglheadsummary; pkg_ai.p_getglheadsummary_Yearly; pkg_ai.P_GetIncomeExpenceDetails; pkg_ai.P_GetLoanCaseDetails; pkg_ai.P_GetStaffPosition; pkg_ai.P_preauditinfo_loan_scheme; pkg_ai.P_preauditinfo_loan_scheme_yearly; pkg_ais.P_AddDivisionalHeadRemarksOnFunctionalLegacyPara; pkg_ais.P_AuditeeOldParaResponse; pkg_ais.P_GetAuditeeEntitiesForOldParas; pkg_ais.P_GetCOSORiskForDepartment; pkg_ais.P_GetDepartments; pkg_AIS.P_GetDepositACCOUNTCATEGORY_details; pkg_ais.P_GetDepositAccountdetails; pkg_ais.P_GetLoanCaseDocuments; pkg_ais.P_GetOldParasAuditYear; pkg_ais.P_GetOutstandingParasAuditYear; pkg_ais.P_GetRiskDescByID; pkg_ais.P_GetUserWiseOldParasPerformance; pkg_ais_email.P_ADDAUDITCRITERIA; pkg_ar.P_Delete_responsibility; PKG_CM.P_CAU_AIR; PKG_CM.P_CAU_AIR_REPLY; pkg_cm.p_CAU_ARPSE_YEAR; PKG_CM.P_CAU_OM; PKG_CM.P_CAU_OM_Get; PKG_CM.P_CAU_OM_REPLY; pkg_cm.p_CAU_OM_YEAR; pkg_cm.P_CAUGetAssignedOMs; PKG_CM.T_CAU_ARPSE; PKG_CM.T_CAU_PDP; pkg_lg.P_ChangePassword; pkg_lg.p_get_user; pkg_lg.p_get_user_session; pkg_lg.p_GetApiPermissions; pkg_lg.P_GetLoggedInUserEngId; pkg_lg.P_GetRiskProcessDefinition; pkg_lg.p_GetTopMenuPages; pkg_lg.p_GetTopMenus; pkg_lg.Session_END; pkg_lg.Session_Kill; pkg_lg.User_SESSION; pkg_pg.P_ADD_Special_Audit_Plan; pkg_pg.P_ADDAUDITCRITERIA; pkg_pg.P_AddAuditEngagementPlan; pkg_pg.P_AddAuditPeriod; pkg_pg.P_addauditteam; pkg_pg.P_AddAuditteamtasklist; pkg_pg.P_ApproveAuditEngagementPlan; pkg_pg.P_DeleteAuditTeam; pkg_pg.P_DeletePendingCriteria; pkg_pg.P_get_Criteria_ent_count; pkg_pg.P_GET_Specical_Audit_for_Approval; pkg_pg.P_GetAuditeeEntities; pkg_pg.P_GetAuditEmployees; pkg_pg.P_GetAuditEngagementPlans; pkg_pg.P_GetAuditEntities; pkg_pg.p_GetAuditFrequencies; pkg_pg.P_GetAuditOperationalStartDate; pkg_pg.P_GetAuditTeams; pkg_pg.P_GetCCQ; pkg_pg.P_GetLatestCommentsOnEngagement; pkg_pg.P_GetPendingAuditCriterias; pkg_pg.P_GetPostChangesAuditCriterias; pkg_pg.P_GetRefferedBackAuditCriterias; pkg_pg.P_MAXTEAMID; pkg_pg.P_RefferedBackAuditEngagementPlan; pkg_pg.P_RerecommendAuditEngagementPlan; pkg_pg.P_SetAuditCriteriaStatusApprove; pkg_pg.P_SetAuditCriteriaStatusReferredBack; pkg_pg.P_SubmitAuditCriteriaForApproval; pkg_pg.P_Update_AuditPeriod; pkg_pg.P_Update_Special_Audit; pkg_pg.P_UpdateAuditCriteria; pkg_pg.P_UpdateCCQ; pkg_pg.Tentative_Audit_Plan","AdministrationPanelController.cs; ApiCallsController.cs; ArchiveController.cs; AuditeePortalController.cs; BACController.cs; CAUController.cs; DashboardController.cs; EngagementController.cs; ExecutionController.cs; FADController.cs; FADRiskControlPanelController.cs; FieldAuditController.cs; FieldAuditReportController.cs; FieldAuditReportPdfController.cs; HMController.cs; HomeController.cs; IAMSController.cs; IIDController.cs; IidInquiryReportPdfController.cs; LoginController.cs; ManagementAuditController.cs; MANReportController.cs; MANReportPdfController.cs; PlanningController.cs; PostComplianceController.cs; ReportsController.cs; RiskAssessmentController.cs; SamplingController.cs; SetupController.cs; WorkingPaperController.cs"
"DBConnection.DB.cs","DB","30","29","pkg_db.P_compliance_summary; pkg_db.P_Function_Annexure; pkg_db.P_Function_Annexure_Paras; pkg_db.P_Function_Annexure_Paras_text; pkg_db.P_Functional_ANALYSIS_DETAILS; pkg_db.P_Functional_ENTITY_WISE_ANALYSIS; pkg_db.P_Functional_ENTITY_WISE_Paras; pkg_db.P_Functional_Reporting_office_WISE_ANALYSIS; pkg_db.P_GET_AUDIT_PERFORMANCE; pkg_db.p_get_dash_repetitive; pkg_db.P_GET_Dash_table; pkg_db.P_GET_Dash_table_functionwise; pkg_db.P_GET_Dash_table_functionwise_ho; pkg_db.P_GET_Dash_table_functionwise_names; pkg_db.P_GET_Dash_table_functionwise_names_checklist; pkg_db.P_GET_Dash_table_functionwise_names_checklist_ho; pkg_db.P_GET_Dash_table_functionwise_names_checklist_sub; pkg_db.P_GET_Dash_table_functionwise_names_checklist_sub_ho; pkg_db.P_GET_Dash_table_functionwise_names_ho; pkg_db.P_GET_Dash_table_functionwise_PARA; pkg_db.P_GET_Dash_table_functionwise_PARA_summary; pkg_db.P_GET_Dash_table_new; pkg_db.P_GET_Dash_table_old; pkg_db.P_GET_Dash_table_v_wise; pkg_db.p_get_dashborad_scorecard; pkg_db.p_get_risk_baseplan; pkg_db.P_Getchildposting; pkg_db.P_GetFunctionalResponsibilityWisePara; pkg_db.P_Getparentrepoffice; pkg_db.P_Getrealtionshiptype","ApiCallsController.cs; ArchiveController.cs; DashboardController.cs; ReportsController.cs"
"DBConnection.FAD.cs","FAD","63","57","pkg_ar.GetResponsiblePPNOforoldPara; pkg_ar.P_GET_Para_changes_for_Authorize; pkg_ar.P_GET_Para_details_for_Authorize; pkg_ar.P_Get_responsibility_for_Authorize; pkg_ar.P_GetObservationsDetailsForManageAuditParas; pkg_ar.P_GetObservationsForManageAuditParas; pkg_ar.P_responibilityforoldpara; pkg_fad.p_add_para_responsibility; PKG_FAD.P_ADD_PARA_STATUS_CHANGE; PKG_FAD.P_AUTHORIZE_PARA_STATUS_CHANGE; pkg_fad.p_authorizechangestatusrequestforsettledpara; pkg_fad.P_AuthorizeChangeStatusRequestForSettledPara_new; pkg_fad.p_delete_para_responsibility; pkg_fad.P_Get_all_paras_fad; pkg_fad.p_get_audit_engagement; pkg_fad.p_get_audit_glance; pkg_fad.p_get_audit_observtion; pkg_fad.p_get_audit_Report; pkg_fad.P_Get_Auditee_Child_FAD; pkg_fad.P_Get_Auditee_Parent_FAD; pkg_FAD.P_GET_IAS_PARA_TEXT; pkg_fad.p_get_legacy_para_responsibles; PKG_FAD.P_GET_MANUAL_CHAPTERS; PKG_FAD.P_GET_MANUAL_MASTER; PKG_FAD.P_GET_MANUAL_REFERENCE_GRID; PKG_FAD.P_GET_MANUAL_SECTIONS; PKG_FAD.P_GET_PARA_STATUS_AUTHORIZATION; PKG_FAD.P_GET_PARA_STATUS_REQUEST; pkg_fad.p_get_process_owner; PKG_FAD.P_GET_REFERENCE_DETAIL_BY_ID; PKG_FAD.P_GET_REFERENCE_MASTER_DETAIL; pkg_fad.p_get_role_responsible; pkg_fad.P_GET_SETTLED_PARA_DETAILS; pkg_fad.P_GET_SETTLED_PARA_DETAILS_PARA_COMPLIANCE; pkg_FAD.P_GET_SETTLED_PARA_ENTITIES; pkg_fad.p_get_violations; PKG_FAD.P_GetAuditChecklistAnnexureCirculars; PKG_FAD.P_GetAuditEmployees; pkg_FAD.P_GetEntitiesForLegacyPara; PKG_FAD.P_GetEntityTaskSummary; pkg_fad.P_GetLeagacyObservations; pkg_fad.p_GetnewParasForResponseAuthorize; pkg_fad.p_getoldparasforresponseauthorize; PKG_FAD.P_GetParaReferences; PKG_FAD.P_GetParaText; pkg_fad.P_PARA_SHIFTING; pkg_fad.P_referback_legacy_para; pkg_fad.P_reviewed_legacy_Para; PKG_FAD.P_SearchReferences; pkg_fad.P_update_legacy_Para_text; pkg_fad.P_Update_paras_annex_fad","ApiCallsController.cs; ArchiveController.cs; ObservationPdfController.cs; PostComplianceController.cs; SetupController.cs"
