"RowNo","Owner","TableName","ColumnId","ColumnName","DataType","DataLength","Nullable","ConstraintName","ConstraintDesc","TriggerName","TriggeringEvent","TriggerStatus"
"1","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","1","ID","NUMBER","22","N","SYS_C001092956","CHECK",,,
"2","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","2","PARA_MIGRATED","VARCHAR2","500","Y",,,,,
"3","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","3","ENGPLANID","NUMBER","22","N","SYS_C001092957","CHECK",,,
"4","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","4","ENTITY_ID","NUMBER","22","Y",,,,,
"5","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","5","ENTITY_CODE","NUMBER","22","Y",,,,,
"6","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","6","STATUS","NUMBER","22","N","SYS_C001092958","CHECK",,,
"7","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","7","ENTEREDBY","NUMBER","22","Y",,,,,
"8","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","8","ENTEREDDATE","DATE","7","Y",,,,,
"9","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","9","LASTUPDATEDBY","NUMBER","22","Y",,,,,
"10","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","10","LASTUPDATEDDATE","DATE","7","Y",,,,,
"11","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","11","AMOUNT_INVOLVED","VARCHAR2","500","Y",,,,,
"12","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","12","SEVERITY","NUMBER","22","Y",,,,,
"13","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","13","RESPONSIBILITY_ASSIGNED_ID","NUMBER","22","Y",,,,,
"14","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","14","RISKMODEL_ID","NUMBER","22","Y",,,,,
"15","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","15","CHECKLISTDETAIL_ID","NUMBER","22","Y",,,,,
"16","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","16","V_CAT_ID","NUMBER","22","Y",,,,,
"17","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","17","V_CAT_NATURE_ID","NUMBER","22","Y",,,,,
"18","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","18","NO_OF_INSTANCES","NUMBER","22","Y",,,,,
"19","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","19","ANNEX","NUMBER","22","Y",,,,,
"20","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","20","MEMO_DATE","DATE","7","Y",,,,,
"21","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","21","MEMO_NUMBER","NUMBER","22","Y",,,,,
"22","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","22","DRAFT_PARA_NO","VARCHAR2","50","Y",,,,,
"23","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","23","FINAL_PARA_NO","VARCHAR2","500","Y",,,,,
"24","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","24","DRAFT_PARA_ADDED_ON","DATE","7","Y",,,,,
"25","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","25","FINAL_PARA_ADDED_ON","DATE","7","Y",,,,,
"26","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","26","STELLED_ON","DATE","7","Y",,,,,
"27","ZTBLAIS_PROD","AIS_T_AU_OBSERVATION","27","SETTLED_BY","NUMBER","22","Y",,,,,
"28","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","1","COM_ID","NUMBER","22","N","PK_AU_POST_COMPLIANCE","PRIMARY KEY",,,
"29","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","2","OLD_PARA_ID","NUMBER","22","Y",,,,,
"30","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","3","NEW_PARA_ID","NUMBER","22","Y",,,,,
"31","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","4","AUDIT_PERIOD","VARCHAR2","500","Y",,,,,
"32","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","5","ENTITY_ID","NUMBER","22","Y",,,,,
"33","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","6","ENTITY_CODE","NUMBER","22","Y",,,,,
"34","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","7","AUDITED_BY","NUMBER","22","Y",,,,,
"35","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","8","ENTITY_TYPE_ID","NUMBER","22","Y",,,,,
"36","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","9","COM_CYCLE","NUMBER","22","Y",,,,,
"37","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","10","COM_STATUS","NUMBER","22","Y",,,,,
"38","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","11","COM_STAGE","NUMBER","22","Y",,,,,
"39","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","12","PARA_STATUS","NUMBER","22","Y",,,,,
"40","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","13","PARA_NO","VARCHAR2","500","Y",,,,,
"41","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","14","GIST_OF_PARAS","VARCHAR2","4000","Y",,,,,
"42","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","15","SETTELED_ON","DATE","7","Y",,,,,
"43","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","16","SETTELED_BY","NUMBER","22","Y",,,,,
"44","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","17","IND","VARCHAR2","500","Y",,,,,
