"ObjectName","Status","Reason","Evidence","ProposedAction"
"AIS_T_AU_OBSERVATION","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"AIS_T_AU_POST_COMPLIANCE","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_UPDATEENTITIEES; PROC:PKG_AD.P_ADD_ENTITY_SHIFTING; PROC:PKG_AD.P_SHIFT_BR_TO_ISLAMIC; PROC:PKG_AD.P_UPDATE_ANNEXURE; PROC:PKG_AD.P_GET_LATEST_PARA_DETAILS; PROC:PKG_AD.P_UPDATE_PARA_AIS_POST_COMPLIANCE; PROC:PKG_AE.P_GETPARASFORCOMPLIANCEFORHISTORY; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_REVIEW; PROC:PKG_AE.P_GETPARASFORCOMPLIANCEBYCAU; PROC:PKG_AE.P_FORWARD_CAU_PARA_TO_BRANCH; PROC:PKG_AE.P_GETPARASFORCOMPLIANCE_CAU_PARA_TEXT","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_AU_POST_COMPLIANCE_23_PARAS","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"AIS_T_AU_POST_COMPLIANCE_BACKUP","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_GETPOSTAUDITCOMPLIANCE_EVIDENCE; PROC:PKG_AE.P_GETPOSTAUDITCOMPLIANCE_EVIDENCE_FILEDATA; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_GETPOSTAUDITCOMPLIANCE_EVIDENCE_FILEDATA_CAU; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE_BY_BRANCH; PROC:PKG_AE.P_GETALLCOMPLIANCE_EVIDENCE_CAU","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_AU_POST_COMPLIANCE_FR","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"AIS_T_AU_POST_COMPLIANCE_HISTORY","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_REVIEW; PROC:PKG_AE.P_GETPARASFORCOMPLIANCEHISTORY; PROC:PKG_FAD.P_AUTHORIZE_PARA_STATUS_CHANGE","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_AU_POST_COMPLIANCE_HISTORY_BACKUP","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"AIS_T_AU_POST_COMPLIANCE_HISTORY_DIFF_AIS_COM","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"AIS_T_AU_POST_COMPLIANCE_SETTELED_ON_DIFF","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"AIS_T_AU_POST_COMPLIANCE_TEXT","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_GETPARASFORCOMPLIANCEFORHISTORY; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE_BY_BRANCH","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_AU_POST_COMPLIANCE_TEXT_BACKUP","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_FORWARD_CAU_PARA_TO_BRANCH; PROC:PKG_AE.P_GETPARASFORCOMPLIANCE_CAU_PARA_TEXT; PROC:PKG_AE.P_GETPARASFORCOMPLIANCEBYCAU_BY_BRANCH; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_BY_BRANCH","Migrate to IAS_ZTBL core or dedicated history module"
"AIS_T_PARA_STATUS_CHANGE_LOG","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_FAD.P_GET_PARA_STATUS_REQUEST; PROC:PKG_FAD.P_ADD_PARA_STATUS_CHANGE; PROC:PKG_FAD.P_GET_PARA_STATUS_AUTHORIZATION; PROC:PKG_FAD.P_AUTHORIZE_PARA_STATUS_CHANGE","Migrate to IAS_ZTBL core or dedicated history module"
"ATTACHMENTSOURCES","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"CFO_LOAN_PORTFOLIO_MOVE_CAT","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"DR$IDX_TEXT$I","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$IDX_TEXT$K","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$IDX_TEXT$N","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$IDX_TEXT$U","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$TEXT_INDEX$I","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$TEXT_INDEX$K","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$TEXT_INDEX$N","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"DR$TEXT_INDEX$U","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"EMAILLOG","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"EMAILTEMPLATES","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"ERR$_T_AU_RESPONSIBILITY_ASSIGNED_FINAL","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"M_COM","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"M_ENG","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"NOTIFICATIONEVENTS","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"NOTIFICATIONRULES","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"SEQ_DRIFT_REPORT","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_APP_MAINTENANCE","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_ACTIVE_EMPOLYEES","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_ACTIVITY_LOG","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_AUDIT_CHECKLIST; PROC:PKG_AD.P_AUDIT_CHECKLIST_SUB; PROC:PKG_AD.P_AUDIT_CHECKLIST_DETAIL; PROC:PKG_AD.P_APPROVED_SUB_PROCESS_BY_AUTHORIZER; PROC:PKG_AD.P_RECOMMEND_CHECKLIST_BY_REVIEWER; PROC:PKG_AD.P_REFFEREDBACK_CHECKLIST_BY_REVIEWER; PROC:PKG_AD.P_APPROVE_CHECKLIST_BY_AUTHORIZER; PROC:PKG_AD.P_REFFEREDBACK_CHECKLIST_BY_AUTHORIZER; PROC:PKG_AD.P_AUDIT_CHECKLIST_UPDATE; PROC:PKG_AD.P_AUDIT_CHECKLIST_SUB_UPDATE; PROC:PKG_AD.AUDIT_CHECKLIST_DETAIL_UPDATE; PROC:PKG_AE.P_GETOBSERVATIONTEXT","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_API_MASTER","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_ADDGROUPMENUITEMSASSIGNMENT; PROC:PKG_AD.P_REMOVEGROUPMENUITEMSASSIGNMENT; PROC:PKG_AD.P_GET_API_MASTER; PROC:PKG_AD.P_GET_ALL_CONTROLLER; PROC:PKG_AD.P_CHECK_API_UNIQUE; PROC:PKG_AD.P_MAINT_API_MASTER; PROC:PKG_LG.P_GETAPIPERMISSIONS","Migrate to IAS_ZTBL core or dedicated history module"
