sr	TABLE_NAME	COLUMN_ID	COLUMN_NAME	DATA_TYPE	DATA_LENGTH	DATA_PRECISION	DATA_SCALE	NULLABLE
1	AIS_T_AU_OBSERVATION	1	ID	NUMBER	22	8	0	N
2	AIS_T_AU_OBSERVATION	2	PARA_MIGRATED	VARCHAR2	500			Y
3	AIS_T_AU_OBSERVATION	3	ENGPLANID	NUMBER	22	8	0	N
4	AIS_T_AU_OBSERVATION	4	ENTITY_ID	NUMBER	22	8	0	Y
5	AIS_T_AU_OBSERVATION	5	ENTITY_CODE	NUMBER	22			Y
6	AIS_T_AU_OBSERVATION	6	STATUS	NUMBER	22	4	0	N
7	AIS_T_AU_OBSERVATION	7	ENTEREDBY	NUMBER	22	8	0	Y
8	AIS_T_AU_OBSERVATION	8	ENTEREDDATE	DATE	7			Y
9	AIS_T_AU_OBSERVATION	9	LASTUPDATEDBY	NUMBER	22	8	0	Y
10	AIS_T_AU_OBSERVATION	10	LASTUPDATEDDATE	DATE	7			Y
11	AIS_T_AU_OBSERVATION	11	AMOUNT_INVOLVED	VARCHAR2	500			Y
12	AIS_T_AU_OBSERVATION	12	SEVERITY	NUMBER	22	4	0	Y
13	AIS_T_AU_OBSERVATION	13	RESPONSIBILITY_ASSIGNED_ID	NUMBER	22			Y
14	AIS_T_AU_OBSERVATION	14	RISKMODEL_ID	NUMBER	22			Y
15	AIS_T_AU_OBSERVATION	15	CHECKLISTDETAIL_ID	NUMBER	22			Y
16	AIS_T_AU_OBSERVATION	16	V_CAT_ID	NUMBER	22			Y
17	AIS_T_AU_OBSERVATION	17	V_CAT_NATURE_ID	NUMBER	22			Y
18	AIS_T_AU_OBSERVATION	18	NO_OF_INSTANCES	NUMBER	22			Y
19	AIS_T_AU_OBSERVATION	19	ANNEX	NUMBER	22			Y
20	AIS_T_AU_OBSERVATION	20	MEMO_DATE	DATE	7			Y
21	AIS_T_AU_OBSERVATION	21	MEMO_NUMBER	NUMBER	22	4	0	Y
