"Pattern","File","Line","Function","Text"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js","21","getrelation","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js","57","getplacepost","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js","85","getPostCompliance","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js","128","submitUpdate","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","30","loadApiMasterList","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","43","loadApiMasterList","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","44","loadApiMasterList","alert(""Unable to load API master list."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","104","saveApiMaster","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","119","saveApiMaster","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","120","saveApiMaster","alert(""Unable to save API master entry."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","143","disableApiMaster","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","157","disableApiMaster","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js","158","disableApiMaster","alert(""Unable to disable API."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js","12","getrelation","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js","48","getplacepost","$.ajax({"
