"Pattern","File","Line","Text"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","82","<div id=""updateModal"" class=""modal"" tabindex=""-1"" role=""dialog"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","83","<div class=""modal-dialog modal-lg"" role=""document"" style=""min-width:90% !important;"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","84","<div class=""modal-content"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","85","<div class=""modal-header bg-danger text-white"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","86","<h5 class=""modal-title"">Update Post Compliance</h5>"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","87","<button type=""button"" class=""btn-close"" data-bs-dismiss=""modal""></button>"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","89","<div class=""modal-body"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","104","<div class=""modal-footer"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\ais_post_compliance.cshtml","106","<button type=""button"" class=""btn btn-secondary"" data-bs-dismiss=""modal"">Close</button>"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\api_master.cshtml","9","<div class=""alert alert-warning mb-0"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\api_master.cshtml","35","<div class=""modal fade"" id=""apiMasterModal"" tabindex=""-1"" aria-hidden=""true"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\api_master.cshtml","36","<div class=""modal-dialog modal-lg"">"
"modal_alert","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Views\AdministrationPanel\api_master.cshtml","37","<div class=""modal-content"">"
