File,Property,PlainTextAttribute,Line
Models/AISEntitiesModel.cs,ENTITY_ID,False,6
Models/AISEntitiesModel.cs,ENTITY_CODE,False,7
Models/AISEntitiesModel.cs,ENTITY_NAME,False,8
Models/AISEntitiesModel.cs,DESCRIPTION,False,9
Models/AISEntitiesModel.cs,STATUS,False,10
Models/AISEntitiesModel.cs,TYPE_ID,False,11
Models/AISEntitiesModel.cs,AUDIT_BY_ID,False,12
Models/AISEntitiesModel.cs,AUDIT_BY,False,13
Models/AISEntitiesModel.cs,AUDITABLE,False,14
Models/AISPostComplianceModel.cs,PNAME,False,5
Models/AISPostComplianceModel.cs,CNAME,False,6
Models/AISPostComplianceModel.cs,COMID,False,7
Models/AISPostComplianceModel.cs,OLDPARAID,False,8
Models/AISPostComplianceModel.cs,NEWPARAID,False,9
Models/AISPostComplianceModel.cs,AUDITPERIOD,False,10
Models/AISPostComplianceModel.cs,ENTITYID,False,11
Models/AISPostComplianceModel.cs,ENTITYCODE,False,12
Models/AISPostComplianceModel.cs,AUDITEDBY,False,13
Models/AISPostComplianceModel.cs,ENTITYTYPEID,False,14
Models/AISPostComplianceModel.cs,COMCYCLE,False,15
Models/AISPostComplianceModel.cs,COMSTATUS,False,16
Models/AISPostComplianceModel.cs,COMSTAGE,False,17
Models/AISPostComplianceModel.cs,PARASTATUS,False,18
Models/AISPostComplianceModel.cs,PARANO,False,19
Models/AISPostComplianceModel.cs,GISTOFPARAS,False,20
Models/AISPostComplianceModel.cs,SETTELEDON,False,21
Models/AISPostComplianceModel.cs,SETTELEDBY,False,22
Models/AISPostComplianceModel.cs,IND,False,23
Models/AISPostComplianceModel.cs,PARAADDEDON,False,24
Models/AISPostComplianceModel.cs,CAUSTATUS,False,25
Models/AISPostComplianceModel.cs,CAUASSIGNEDENTID,False,26
Models/AISPostComplianceModel.cs,BRRESPONSEBY,False,27
Models/AISPostComplianceModel.cs,BRRESPONSEON,False,28
Models/AISPostComplianceModel.cs,CAUASSIGNEDBY,False,29
Models/AISPostComplianceModel.cs,CAUASSIGNEDON,False,30
Models/AISPostComplianceModel.cs,SETTLEMENTCOMREVIEWEDBY,False,31
Models/AISPostComplianceModel.cs,SETTLEMENTCOMREVIEWEDON,False,32
Models/AISPostComplianceModel.cs,RISK,False,33
Models/AISPostComplianceModel.cs,ANNEX,False,34
Models/AccountDocumentBiometSamplingModel.cs,OldAccountNo,False,5
Models/AccountDocumentBiometSamplingModel.cs,PageNo,False,6
Models/AccountDocumentBiometSamplingModel.cs,Name,False,7
Models/AccountDocumentBiometSamplingModel.cs,DocRemarks,False,9
Models/AccountExceptionsModel.cs,BRANCH_CODE,False,5
Models/AccountExceptionsModel.cs,ACCOUNT_ID,False,6
Models/AccountExceptionsModel.cs,ACCOUNT_NO,False,7
Models/AccountExceptionsModel.cs,ACCOUNT_TITLE,False,8
Models/AccountExceptionsModel.cs,CUSTOMER_NAME,False,9
Models/AccountExceptionsModel.cs,DOB,False,10
Models/AccountExceptionsModel.cs,PHONECELL,False,11
Models/AccountExceptionsModel.cs,CNIC,False,12
Models/AccountExceptionsModel.cs,CNIC_EXPIRY_DATE,False,13
Models/AccountExceptionsModel.cs,OPENING_DATE,False,14
Models/AccountExceptionsModel.cs,BMVS_VERIFIED,False,15
