"MethodName","CallSiteCount","Files","Controllers","Views","JsFiles"
"GetApiMasterList","4","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\CatalogController.cs","ApiMasterController.cs; CatalogController.cs","",""
"GetApiMasterControllerNames","1","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs","ApiMasterController.cs","",""
"MaintainApiMaster","1","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs","ApiMasterController.cs","",""
"LogError","51","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\CatalogController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\DashboardLayoutController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ApiCallsController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\EngagementController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FieldAuditReportController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FieldAuditReportPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\HMController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\HomeController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\IidInquiryReportPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\LoginController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\MANReportPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ObservationPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\SecurityController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\UploadFileController.cs","ApiMasterController.cs; CatalogController.cs; DashboardLayoutController.cs; ApiCallsController.cs; EngagementController.cs; FieldAuditReportController.cs; FieldAuditReportPdfController.cs; HMController.cs; HomeController.cs; IidInquiryReportPdfController.cs; LoginController.cs; MANReportPdfController.cs; ObservationPdfController.cs; SecurityController.cs; UploadFileController.cs","",""
"InsertApiMaster","5","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\CatalogController.cs","ApiMasterController.cs; CatalogController.cs","",""
"UpdateApiMaster","5","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\CatalogController.cs","ApiMasterController.cs; CatalogController.cs","",""
"ApiPathExists","1","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\ApiMasterController.cs","ApiMasterController.cs","",""
"GetMenuPagesForAdminPanel","3","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\CatalogController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ApiCallsController.cs","CatalogController.cs; ApiCallsController.cs","",""
"UpdateMenuPageForAdminPanel","3","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\CatalogController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ApiCallsController.cs","CatalogController.cs; ApiCallsController.cs","",""
"GetRoleDashboardConfig","3","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\DashboardLayoutController.cs","DashboardLayoutController.cs","",""
"GetRoleDashboardPages","1","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\DashboardLayoutController.cs","DashboardLayoutController.cs","",""
"MaintainRoleDashboardPage","1","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\Administration\DashboardLayoutController.cs","DashboardLayoutController.cs","",""
"GetTopMenus","337","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\BAC\BACController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\CAU\CAUController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\IAMS\IAMSController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\AdministrationPanelController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ArchiveController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\AuditeePortalController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\DashboardController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\EngagementController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ExecutionController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FADController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FADRiskControlPanelController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FieldAuditController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FieldAuditReportController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\FieldAuditReportPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\HMController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\HomeController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\IIDController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\IidInquiryReportPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ManagementAuditController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\MANReportController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\MANReportPdfController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\PlanningController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\PostComplianceController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ReportsController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\RiskAssessmentController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\SamplingController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\SetupController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\WorkingPaperController.cs","BACController.cs; CAUController.cs; IAMSController.cs; AdministrationPanelController.cs; ArchiveController.cs; AuditeePortalController.cs; DashboardController.cs; EngagementController.cs; ExecutionController.cs; FADController.cs; FADRiskControlPanelController.cs; FieldAuditController.cs; FieldAuditReportController.cs; FieldAuditReportPdfController.cs; HMController.cs; HomeController.cs; IIDController.cs; IidInquiryReportPdfController.cs; ManagementAuditController.cs; MANReportController.cs; MANReportPdfController.cs; PlanningController.cs; PostComplianceController.cs; ReportsController.cs; RiskAssessmentController.cs; SamplingController.cs; SetupController.cs; WorkingPaperController.cs","",""
"GetBACCIAAnalysisOptions","2","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\BAC\BACController.cs","BACController.cs","",""
"GetInsYearsForCAU","2","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\CAU\CAUController.cs","CAUController.cs","",""
"GetParaPrintingYearsForCAU","2","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\CAU\CAUController.cs","CAUController.cs","",""
"GetDivisions","17","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\CAU\CAUController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ApiCallsController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ArchiveController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\EngagementController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\ExecutionController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\PlanningController.cs; C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\Controllers\SetupController.cs","CAUController.cs; ApiCallsController.cs; ArchiveController.cs; EngagementController.cs; ExecutionController.cs; PlanningController.cs; SetupController.cs","",""
