"MethodName","InternalCallCount","InternalFiles"
"CreateSessionHandler","586","DBConnection.AD.cs; DBConnection.AE.cs; DBConnection.AR.cs; DBConnection.BAC.cs; DBConnection.CAD.cs; DBConnection.CAU.cs; DBConnection.cs; DBConnection.DB.cs; DBConnection.FAD.cs; DBConnection.FRPT.cs; DBConnection.FRPT.Pdf.cs; DBConnection.HD.cs; DBConnection.IID.cs; DBConnection.IID.ExceptionReports.cs; DBConnection.IID.Pdf.cs; DBConnection.PG.cs; DBConnection.RPT.cs; DBConnection.SM.cs"
"DatabaseConnection","858","DBConnection.AD.cs; DBConnection.AdminCatalog.cs; DBConnection.AE.cs; DBConnection.AR.cs; DBConnection.BAC.cs; DBConnection.CAD.cs; DBConnection.CAU.cs; DBConnection.cs; DBConnection.DB.cs; DBConnection.FAD.cs; DBConnection.FAD.Risk.cs; DBConnection.FRPT.cs; DBConnection.FRPT.Pdf.cs; DBConnection.HD.cs; DBConnection.IID.cs; DBConnection.IID.ExceptionReports.cs; DBConnection.IID.Pdf.cs; DBConnection.LG.cs; DBConnection.Logging.cs; DBConnection.MANRPT.cs; DBConnection.ObservationPdf.cs; DBConnection.PG.cs; DBConnection.RPT.cs; DBConnection.Security.cs; DBConnection.SM.cs"
"HashPassword","7","DBConnection.AD.cs; DBConnection.CAD.cs; DBConnection.cs"
"GeneratePassword","1","DBConnection.AD.cs"
"GetRiskDescByID","1","DBConnection.AD.cs"
"GetLatestCommentsOnProcess","1","DBConnection.AD.cs"
"ReadString","32","DBConnection.AD.cs; DBConnection.AdminCatalog.cs; DBConnection.LG.cs"
"UpdateGMOffice","1","DBConnection.AD.cs"
"UpdateReportingLine","1","DBConnection.AD.cs"
"ReadInt","36","DBConnection.AdminCatalog.cs; DBConnection.AE.cs; DBConnection.AR.cs; DBConnection.FAD.cs; DBConnection.HD.cs; DBConnection.LG.cs"
"MaintainApiMaster","2","DBConnection.AdminCatalog.cs"
"GetOrdinal","12","DBConnection.AdminCatalog.cs; DBConnection.AE.cs; DBConnection.AR.cs; DBConnection.CAD.cs; DBConnection.HD.cs; DBConnection.IID.Pdf.cs; DBConnection.LG.cs; DBConnection.SM.cs"
"GetManagedObservationTextForBranches","3","DBConnection.AE.cs; DBConnection.Notification.cs"
"ReadNullableInt","18","DBConnection.AE.cs; DBConnection.AR.cs; DBConnection.FAD.cs; DBConnection.HD.cs; DBConnection.LG.cs"
"GetAttachedAuditeeEvidencesFromDirectory","1","DBConnection.AE.cs"
"DeleteSubFolderDirectoryInAuditeeEvidenceFromServer","1","DBConnection.AE.cs"
"GetOldParasObservationResponsiblePPNOs","7","DBConnection.AE.cs; DBConnection.HD.cs"
"GetOldParasEvidences","7","DBConnection.AE.cs; DBConnection.HD.cs"
"GetAttachedFilesFromDirectory","1","DBConnection.AE.cs"
"SaveImage","2","DBConnection.AE.cs; DBConnection.cs"
"DeleteSubFolderDirectoryFromServer","1","DBConnection.AE.cs"
"GetAttachedCAUEvidencesFromDirectory","1","DBConnection.AE.cs"
"DeleteSubFolderDirectoryInCAUEvidenceFromServer","1","DBConnection.AE.cs"
"GetLoggedInUserEngId","22","DBConnection.AR.cs; DBConnection.cs; DBConnection.HD.cs"
"SetEngIdOnHold","1","DBConnection.AR.cs"
"CleanDbMessage","5","DBConnection.AR.cs; DBConnection.cs"
"GetLatestAuditeeResponse","5","DBConnection.AR.cs"
"GetObservationResponsiblePPNOs","12","DBConnection.AR.cs; DBConnection.HD.cs"
"GetRespondedObservationEvidences","2","DBConnection.AR.cs"
"HasColumn","61","DBConnection.AR.cs; DBConnection.FAD.cs; DBConnection.IID.cs"
"GetLatestAuditorResponse","5","DBConnection.AR.cs; DBConnection.HD.cs"
"GetLatestDepartmentalHeadResponse","5","DBConnection.AR.cs; DBConnection.HD.cs"
"GetLegacyParaResponsiblePersons","1","DBConnection.AR.cs"
"GetAuditeeAssignedEntities","2","DBConnection.archive.cs"
"GetAuditeeOldParasEntities","2","DBConnection.archive.cs"
"GetAuditVoilationcats","2","DBConnection.archive.cs"
"GetAuditChecklistCAD","2","DBConnection.archive.cs"
"GetRisks","2","DBConnection.archive.cs"
"GetFunctionalListForDashboard","2","DBConnection.archive.cs"
"GetRiskProcessDefinition","2","DBConnection.archive.cs"
"GetAnnexuresForChecklistDetail","2","DBConnection.archive.cs"
"GetrealtionshiptypeForDashboardPanel","2","DBConnection.archive.cs"
"GetEntitiesDropDownForManageObservations","2","DBConnection.archive.cs"
"GetLegacyParasEntities","2","DBConnection.archive.cs"
"GetStaffPosition","2","DBConnection.archive.cs"
"GetDepartments","2","DBConnection.archive.cs"
"GetDivisions","2","DBConnection.archive.cs"
"GetZones","2","DBConnection.archive.cs"
"GetDuplicateParasAuthorizationEntityList","2","DBConnection.archive.cs"
"GetAuditEntitiesForOtherEntitySelection","2","DBConnection.archive.cs"
"GetDepositCat","2","DBConnection.archive.cs"
"GetLoansScheme","2","DBConnection.archive.cs"
"GetLoansSchemeYearly","2","DBConnection.archive.cs"
"GetAuditeeEntitiesType","2","DBConnection.archive.cs"
"GetAuditYearForAddLegacyPara","2","DBConnection.archive.cs"
"GetAuditNatureForAddLegacyPara","2","DBConnection.archive.cs"
"GetLegacyParasEntitiesHO","2","DBConnection.archive.cs"
"GetLegacyParasEntitiesFAD","2","DBConnection.archive.cs"
"GetGlheadDetails","2","DBConnection.archive.cs"
"GetControlViolations","2","DBConnection.archive.cs"
"Getrealtionshiptype","2","DBConnection.archive.cs"
"GetCurrentParasEntitiesForStatusChange","2","DBConnection.archive.cs"
"GetActiveInactiveChartData","2","DBConnection.archive.cs"
"GetAuditeeOldParas","2","DBConnection.archive.cs"
"GetOldParasManagement","2","DBConnection.archive.cs"
"AddOldParasCADReply","2","DBConnection.archive.cs"
