"Module","FileName","MethodName","Access","Signature","ProcedureCalls","DirectObjects","CursorColumns","ActiveControllers","ArchiveReferences","InternalCallCount","Status","Reason"
"AD","DBConnection.AD.cs","GetAllTopMenus","public","public List<MenuModel> GetAllTopMenus() {","pkg_ad.P_GetAllTopMenus","","MENU_ID; MENU_NAME; MENU_ORDER; MENU_DESCRIPTION","AdministrationPanelController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetAllMenuPages","public","public List<MenuPagesModel> GetAllMenuPages(int menuId = 0) {","pkg_ad.p_GetAllMenuPages","","ID; MENU_ID; PAGE_NAME; PAGE_PATH; PAGE_ORDER; STATUS","AdministrationPanelController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetAssignedMenuPages","public","public List<MenuPagesModel> GetAssignedMenuPages(int groupId, int menuId) {","pkg_ad.P_GetAssignedMenuPages","","ID; MENU_ID; PAGE_NAME; PAGE_PATH; PAGE_ORDER; STATUS","AdministrationPanelController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","UpdateMenuPagesAssignment","public","public bool UpdateMenuPagesAssignment(int menuId, int pageId) {","pkg_ad.P_updateAllMenuPages","","","ApiCallsController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetGroups","public","public List<GroupModel> GetGroups() {","pkg_ad.P_GetGroups","","GROUP_ID; GROUP_NAME; DESCRIPTION; STATUS","AdministrationPanelController.cs; ReportsController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","AddGroup","public","public GroupModel AddGroup(GroupModel gm) {","pkg_ad.p_AddGroup; pkg_ad.P_Group_Update","","","AdministrationPanelController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetRoleResponsibilities","public","public List<RoleRespModel> GetRoleResponsibilities() {","pkg_ad.P_GetRoleResponsibilities","","DESIGNATIONCODE; DESCRIPTION; STATUSTYPE","SetupController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetAnnexuresForChecklistDetail","public","public List<AnnexureModel> GetAnnexuresForChecklistDetail() {","pkg_ad.p_get_annexure","","ID; Annex; Code; HEADING; Risk; process; function; Risk_ID; process_Id; function_Id; function_id_1; function_1; function_id_2; function_2; max_number; weightage; gravity; Vol; Status","ApiCallsController.cs; ExecutionController.cs; FADController.cs; FieldAuditController.cs; SetupController.cs","ArchiveController.cs","2","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetAllUsers","public","public List<UserModel> GetAllUsers(FindUserModel user) {","pkg_ad.p_get_allusers","","USERID; PPNO; EMPLOYEEFIRSTNAME; EMPLOYEELASTNAME; EMAIL; entity_id; child_code; p_type_id; parent_id; parent_code; c_type_id; c_name; relation_type_id; p_name; type_id; code; group_id; group_name; ISACTIVE","ApiCallsController.cs","","2","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","AddNewUser","public","public string AddNewUser(FindUserModel user) {","pkg_ad.P_add_new_user","","remarks","ApiCallsController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
"AD","DBConnection.AD.cs","GetAuditEntityTypes","public","public List<AuditEntitiesModel> GetAuditEntityTypes(int page_id) {","pkg_ad.P_Get_Entity_type","","AUTID; ENTITYCODE; ENTITYTYPEDESC; AUDITABLE; d_risk","AdministrationPanelController.cs; SetupController.cs","","0","Confirmed Active","Referenced by non-archive controller(s)."
