"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AD.P_GETALLTOPMENUS","PKG_AD","Confirmed Active","GetAllTopMenus","AD","T_MENU","","T_CURSOR; T_MENU","True"
"PKG_AD.P_GETALLMENUPAGES","PKG_AD","Confirmed Active","GetAllMenuPages","AD","T_MENU_PAGES","","T_MENU_PAGES; T_CURSOR","True"
"PKG_AD.P_GETASSIGNEDMENUPAGES","PKG_AD","Confirmed Active","GetAssignedMenuPages","AD","T_MENU_PAGES; T_MENU_PAGES_GROUPMAP","","T_MENU_PAGES_GROUPMAP; T_MENU_PAGES; T_CURSOR","True"
"PKG_AD.P_UPDATEALLMENUPAGES","PKG_AD","Confirmed Active","UpdateMenuPagesAssignment","AD","","T_MENU_PAGES","T_MENU_PAGES","True"
"PKG_AD.P_GETGROUPS","PKG_AD","Confirmed Active","GetGroups","AD","T_GROUPS","","T_CURSOR; T_GROUPS","True"
"PKG_AD.P_ADDGROUP","PKG_AD","Confirmed Active","AddGroup","AD","T_GROUPS","T_GROUPS","T_GROUPS","True"
"PKG_AD.P_GROUP_UPDATE","PKG_AD","Confirmed Active","AddGroup","AD","","T_GROUPS","T_GROUPS","True"
"PKG_AD.P_GETROLERESPONSIBILITIES","PKG_AD","Confirmed Active","GetHRDesignation; GetRoleResponsibilities","AD","T_HR_DESIGNATIONS","","T_CURSOR; T_HR_DESIGNATIONS","True"
"PKG_AD.P_GET_ANNEXURE","PKG_AD","Confirmed Active","GetAnnexuresForChecklistDetail","AD","T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES","True"
"PKG_AD.P_GET_ALLUSERS","PKG_AD","Confirmed Active","GetAllUsers; GetMatchedPPNumbers","AD","V_SERVICE_EMPLOYEEINFO; T_USER; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING; T_GROUPS","","T_USER; V_SERVICE_EMPLOYEEINFO; T_GROUPS; T_CURSOR; V_EMAIL; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING","True"
"PKG_AD.P_ADD_NEW_USER","PKG_AD","Confirmed Active","AddNewUser","AD","T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO; DUAL","T_USER_MAPING; T_USER","T_CURSOR; T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO","True"
"PKG_AD.P_GET_ENTITY_TYPE","PKG_AD","Confirmed Active","GetAuditEntityTypes","AD","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GET_AUDITED_BY","PKG_AD","Confirmed Active","GetAuditBy","AD","T_AUDIT_DEPARTMENTS","","T_CURSOR; T_AUDIT_DEPARTMENTS","True"
"PKG_AD.P_GETAUDITEEENTITYTYPES","PKG_AD","Confirmed Active","GetAuditeeEntities; GetEntityTypeList","AD","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GETENTITEES_FOR_UPDATE","PKG_AD","Confirmed Active","GetAuditeeEntitiesForUpdate","AD","T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ","","T_CURSOR; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ","True"
"PKG_AD.P_GETENTITEES_FOR_UPDATE_COMP","PKG_AD","Confirmed Active","GetAuditeeEntitiesForUpdateForAuthorization","AD","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","T_CURSOR; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","True"
"PKG_AD.P_GETENTITEES_FOR_UPDATE_AUTHORIZATION","PKG_AD","Confirmed Active","GetAuditeeEntitiesForAuthorization","AD","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","T_CURSOR; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","True"
"PKG_AD.P_UPDATE_ENTITIES","PKG_AD","Confirmed Active","UpdateAuditeeEntity","AD","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; TO","T_CURSOR; V_NEW_ID; V_PENDING_COUNT; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES","True"
"PKG_AD.P_GET_AUDITEE_ENTITIES","PKG_AD","Confirmed Active","GetAISEntities","AD","T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES","","T_ID; T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GET_CBAS_ENTITIES","PKG_AD","Confirmed Active","GetCBASEntities","AD","V_GET_CBAS_ENTITIES","","T_CURSOR; V_GET_CBAS_ENTITIES","True"
"PKG_AD.P_GET_ERP_ENTITIES","PKG_AD","Confirmed Active","GetERPEntities","AD","DUAL; V_ERP_DEPARTMENTS","","T_CURSOR; V_ERP_DEPARTMENTS","True"
"PKG_AD.P_GET_HR_ENTITIES","PKG_AD","Confirmed Active","GetHREntities; GetHREntitiesForAdminPanelEntityAddition","AD","V_GET_HR_ENTITIES","","T_CURSOR; V_GET_HR_ENTITIES","True"
"PKG_AD.P_ADDAUDITENTITY","PKG_AD","Confirmed Active","AddAuditEntity","AD","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GETAUDITSUBENTITIES","PKG_AD","Low-Confidence / Needs Verification","GetAuditSubEntities","AD","T_AUDITEE_ENTITEE_SUBENTITY","","T_CURSOR; T_AUDITEE_ENTITEE_SUBENTITY","True"
"PKG_AD.UPDATE_USERS","PKG_AD","Confirmed Active","UpdateUser","AD","T_USER_MAPING; T_USER; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","T_USER; T_USER_MAPING; T_EMAIL_ADDRESS; T_EMP_EMAILS","T_USER; T_USER_MAPING; T_CURSOR; V_COUNT; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","True"
"PKG_AD.RESET_USER_PASSWORD","PKG_AD","Confirmed Active","ResetUserPassword","AD","T_USER; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; DUAL; V_SERVICE_EMPLOYEEINFO; V_EMAILS","PASSWORD; T_USER","T_USER; T_CURSOR; V_ENT_TYPE; V_ENT_ID; V_EMP_CNIC_RAW; V_EMP_CNIC_NORM; V_CNIC_NORM; V_EMAIL_PRIMARY; V_EMAIL_BRANCH; V_EMP_NAME; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; V_SERVICE_EMPLOYEEINFO; V_EMAILS","True"
"PKG_AD.P_ADDGROUPMENUITEMSASSIGNMENT","PKG_AD","Confirmed Active","AddGroupMenuItemsAssignment","AD","T_MENU_PAGES_GROUPMAP; T_AU_API_MASTER; T_AU_ROLE_API_PERMISSION","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","True"
"PKG_AD.P_REMOVEGROUPMENUITEMSASSIGNMENT","PKG_AD","Confirmed Active","RemoveGroupMenuItemsAssignment","AD","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","True"
"PKG_AD.P_GETAUDITZONES","PKG_AD","Confirmed Active","GetAuditZones","AD","T_AUDITEE_ENTITIES","","T_AUDITEE_ENTITIES; T_CURSOR","True"
"PKG_AD.P_GETBRANCHES","PKG_AD","Confirmed Active","GetBranches","AD","V_SERVICE_BRANCH","","T_CURSOR; V_SERVICE_BRANCH; V_SERVICE_ZONES","True"
"PKG_AD.P_GETZONES","PKG_AD","Confirmed Active","GetZones","AD","T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDITEE_ENTITIES","True"
"PKG_AD.P_GETZONESFORHOMOINTORING","PKG_AD","Confirmed Active","GetZonesoldparamointoring","AD","T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GETBRANCHSIZES","PKG_AD","Confirmed Active","GetBranchSizes","AD","T_AUDITEE_ENTITIES_SIZE_DISC","","T_CURSOR; T_AUDITEE_ENTITIES_SIZE_DISC","True"
"PKG_AD.P_GETCONTROLVIOLATIONS","PKG_AD","Confirmed Active","GetControlViolations","AD","T_R_SUB_GROUP","","T_CURSOR; T_R_SUB_GROUP","True"
"PKG_AD.P_GETSUBENTITIES","PKG_AD","Confirmed Active","GetSubEntities","AD","T_AUDITEE_ENTITEE_SUBENTITY; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_AUDITEE_ENTITEE_SUBENTITY; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AD.P_ADDSUBENTITY","PKG_AD","Confirmed Active","AddSubEntity","AD","T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","True"
"PKG_AD.P_UPDATESUBENTITY","PKG_AD","Confirmed Active","UpdateSubEntity","AD","","T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","True"
"PKG_AD.P_GET_AUDIT_TEAM_POSTCHANGES","PKG_AD","Confirmed Active","GetAuditOngoingEngagementPlans","AD","T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG","","T_CURSOR; T_NAME; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_ID; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG","True"
"PKG_AD.P_GETRISKPROCESSDETAILS","PKG_AD","Confirmed Active","GetRiskProcessDetails","AD","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_SUB","","T_CURSOR; T_AUDIT_CHECKLIST; T_ID; T_AUDIT_CHECKLIST_SUB","True"
"PKG_AD.P_GET_SUB_CHECKLIST_UPDATE_BYID","PKG_AD","Confirmed Active","GetSubChecklistComparisonDetailById","AD","V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_UPDATE_PROPOSE","","T_CURSOR; T_ID; V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_UPDATE_PROPOSE","True"
"PKG_AD.P_GET_CHECKLIST_UPDATE_BYID","PKG_AD","Confirmed Active","GetChecklistComparisonDetailById","AD","V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE","","T_CURSOR; V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE","True"
"PKG_AD.P_GET_CHECKLIST_UPDATE_BYID_REF","PKG_AD","Confirmed Active","GetChecklistComparisonDetailByIdForRefferedBack","AD","V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE_ID","","T_CURSOR; V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE_ID","True"
