page_key,page_key,view_name,controller_name,action_name,http_method,call_type,source_type,confidence_level,Api Path,
11,11,Planning/team_members.cshtml,Planning,audit_team,POST,AJAX,VIEW,MEDIUM, /api/planning/audit_team,
11,11,Planning/team_members.cshtml,Planning,add_audit_team,POST,AJAX,VIEW,MEDIUM, /api/planning/add_audit_team,
11,11,Planning/team_members.cshtml,Planning,delete_audit_team,POST,AJAX,VIEW,MEDIUM, /api/planning/delete_audit_team,
34,34,Planning/audit_period.cshtml,ApiCalls,audit_periods,POST,AJAX,VIEW,MEDIUM, /ApiCalls/audit_periods,
34,34,Planning/audit_period.cshtml,ApiCalls,add_audit_period,POST,AJAX,VIEW,MEDIUM, /ApiCalls/add_audit_period,
34,34,Planning/audit_period.cshtml,ApiCalls,update_audit_period,POST,AJAX,VIEW,MEDIUM, /ApiCalls/update_audit_period,
287,287,Planning/special_audit_criteria.cshtml,ApiCalls,get_saved_special_audit_plans,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_saved_special_audit_plans,
287,287,Planning/special_audit_criteria.cshtml,ApiCalls,getpostplace,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getpostplace,
287,287,Planning/special_audit_criteria.cshtml,ApiCalls,add_special_audit_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/add_special_audit_plan,
287,287,Planning/special_audit_criteria.cshtml,ApiCalls,delete_special_audit_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/delete_special_audit_plan,
287,287,Planning/special_audit_criteria.cshtml,ApiCalls,submit_special_audit_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/submit_special_audit_plan,
288,288,Planning/special_audit_criteria_approval.cshtml,ApiCalls,get_saved_special_audit_plans,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_saved_special_audit_plans,
288,288,Planning/special_audit_criteria_approval.cshtml,ApiCalls,approve_special_audit_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/approve_special_audit_plan,
288,288,Planning/special_audit_criteria_approval.cshtml,ApiCalls,referred_back_special_audit_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/referred_back_special_audit_plan,
,MULTIPLE_OR_UNKNOWN,Planning/audit_plan.cshtml,Planning,audit_periods,POST,AJAX,VIEW,MEDIUM, /Planning/audit_periods,
,MULTIPLE_OR_UNKNOWN,Planning/special_assignment.cshtml,Planning,audit_periods,POST,AJAX,VIEW,MEDIUM, /Planning/audit_periods,
,MULTIPLE_OR_UNKNOWN,Planning/special_assignment.cshtml,Planning,audit_teams,POST,AJAX,VIEW,MEDIUM, /api/planning/audit_teams,
,MULTIPLE_OR_UNKNOWN,Planning/special_assignment.cshtml,Planning,zone_branches,POST,AJAX,VIEW,MEDIUM, /api/planning/zone_branches,
,MULTIPLE_OR_UNKNOWN,Planning/special_assignment.cshtml,Planning,div_departments,POST,AJAX,VIEW,MEDIUM, /api/planning/div_departments,
,MULTIPLE_OR_UNKNOWN,Planning/special_assignment.cshtml,Planning,add_audit_plan,POST,AJAX,VIEW,MEDIUM, /api/planning/add_audit_plan,
,MULTIPLE_OR_UNKNOWN,Planning/special_assignment.cshtml,Setup,get_sub_entities,POST,AJAX,VIEW,MEDIUM, /Setup/get_sub_entities,
4,4,Planning/refferedback_audit_criteria.cshtml,Planning,update_audit_criteria,POST,AJAX,VIEW,MEDIUM, /api/planning/update_audit_criteria,
47,47,Planning/staff_position.cshtml,Planning,audit_employees,POST,AJAX,VIEW,MEDIUM, /api/planning/audit_employees,
5,5,Planning/audit_criteria_approval.cshtml,Planning,referredBack_auditCriteria,POST,AJAX,VIEW,MEDIUM, /api/planning/referredBack_auditCriteria,
5,5,Planning/audit_criteria_approval.cshtml,Planning,authorize_auditCriteria,POST,AJAX,VIEW,MEDIUM, /api/planning/authorize_auditCriteria,
7,7,Planning/post_changes_criteria.cshtml,Planning,post_changes_audit_criteria,POST,AJAX,VIEW,MEDIUM, /api/planning/post_changes_audit_criteria,
7,7,Planning/post_changes_criteria.cshtml,Planning,generate_plan_audit_criteria,POST,AJAX,VIEW,MEDIUM, /api/planning/generate_plan_audit_criteria,
3,3,Planning/audit_criteria.cshtml,ApiCalls,GetAuditEntitiesCount,POST,AJAX,VIEW,MEDIUM, /ApiCalls/GetAuditEntitiesCount,
3,3,Planning/audit_criteria.cshtml,ApiCalls,GetAuditEntitiesCount,POST,AJAX,VIEW,MEDIUM, /ApiCalls/GetAuditEntitiesCount,
3,3,Planning/audit_criteria.cshtml,ApiCalls,DeletePendingCriteria,POST,AJAX,VIEW,MEDIUM, /ApiCalls/DeletePendingCriteria,
