Page_ID,ID,MENU_ID,PAGE_NAME,Menu,PAGE_PATH,PAGE_ORDER,STATUS,HIDE_MENU,SUB_MENU,PAGE_KEY,
120,120,1,Dashboard,HM,HM/dashboard,1,A,0,,dashboard,
123,123,4,Staff Position,Execution,Execution/staff_pos_info,6,A,1,,staff_pos_info,
124,124,4,Loan Documents,Execution,Execution/loan_case_document,6,A,1,,loan_case_document,
125,125,16,Functional Resposibility Wise Paras,Dashboard,Dashboard/functional_resp_wise_paras,3,A,0,,functional_resp_wise_paras,
148,148,4,Deposit Account,Execution,Execution/deposit_account,5,I,1,,deposit_account,
149,149,4,Deposit Account Details,Execution,Execution/deposit_account_details,6,A,1,,deposit_account_details,
151,151,4,Loan Schemes,Execution,Execution/loan_scheme,20,A,1,,loan_scheme,
152,152,4,Loan Schemes Yearly,Execution,Execution/loan_scheme_yearly,21,A,1,,loan_scheme_yearly,
167,167,19,Marking of Legacy Para as Settle / Un-settle,Execution,Execution/Settled_Para,7,A,0,,Settled_Para,
169,169,19,Authorize Marking of Legacy Para as Settle/ Un-settle,Execution,Execution/Authorize_Change_Settle_Para_Status,8,A,0,,Authorize_Change_Settle_Para_Status,
18,18,4,Departmental Observation,Execution,Execution/audit_execution,4,A,1,,audit_execution,
182,182,18,Review Gist and Recommendaiton,FAD,FAD/review_gist_recommendation,1,A,0,,review_gist_recommendation,
183,183,4,Update text of Legacy Paras ,Execution,Execution/Update_Legacy_Paras,19,A,0,,Update_Legacy_Paras,
188,188,4,FAD Update Legacy Paras,Execution,Execution/Update_Legacy_Paras_FAD,20,A,0,,Update_Legacy_Paras_FAD,
192,192,4,Add Legacy Para,Execution,Execution/Add_Legacy_Para,2,A,0,,Add_Legacy_Para,
193,193,4,Authorize Legacy para addition,Execution,Execution/Authorize_Adding_Legacy_Para,3,A,0,,Authorize_Adding_Legacy_Para,
194,194,4,Update Gist/Para no in legacy data ,Execution,Execution/Update_Gist_Para_No,4,A,0,,Update_Gist_Para_No,
195,195,4,Authorize Update of Legacy Para Gist Para,Execution,Execution/Authorize_Update_Legacy_Para_Gist_Para,5,A,0,,Authorize_Update_Legacy_Para_Gist_Para,
197,197,4,Update Legacy Paras HO,Execution,Execution/Update_Legacy_Paras_HO,2,A,0,,Update_Legacy_Paras_HO,
200,200,16,Risk Based Planning Criteria,dashboard,dashboard/no_entities_risk_based_planning,2,A,0,,no_entities_risk_based_planning,
201,201,16,Risk Based Planning (No of Entities),dashboard,dashboard/no_entities_risk_based_planning_b,3,A,0,,no_entities_risk_based_planning_b,
216,216,10,Entity Relationship,AdministrationPanel,AdministrationPanel/entity_relationship,7,A,0,,entity_relationship,
220,220,19,Marking of New/AIS Para as Settle/Un-settle,PostCompliance,PostCompliance/change_status_new_Para,8,A,0,,change_status_new_Para,
222,222,19,Authorize Marking of New/AIS Para as Settle/ Un-settle,PostCompliance,PostCompliance/change_status_new_Para_authorize,6,A,0,,change_status_new_Para_authorize,
223,223,16,Functional Resposibility Wise Paras For HO,Dashboard,Dashboard/functional_resp_wise_paras_ho,5,A,0,,functional_resp_wise_paras_ho,
243,243,16,Para View,Dashboard,Dashboard/para_view,0,A,0,,para_view,
244,244,16,Reporting Office wise Observations,Dashboard,Dashboard/reporting_wise_obs,0,A,0,,reporting_wise_obs,
253,253,4,Manage Observation Revised,Execution,Execution/obs_management,1,A,1,,obs_management,
27,27,6,Control Violation,Setup,Setup/control_violation,1,A,0,,control_violation,
352,352,19,Para Status Change,PostCompliance,PostCompliance/change_para_status,9,A,0,,change_para_status,
353,353,19,Authorize Para Status Change,PostCompliance,PostCompliance/change_para_status_authorize,10,A,0,,change_para_status_authorize,
44,44,6,Audit Template,AdministrationPanel,AdministrationPanel/Audit_Template,12,I,1,,Audit_Template,
45,45,6,Audit Observation Text,AdministrationPanel,AdministrationPanel/Audit_Observation_text,13,I,1,,Audit_Observation_text,
48,48,8,Old Outstanding Paras,AuditeePortal,AuditeePortal/old_outstanding_paras,1,A,0,,old_outstanding_paras,
50,50,8,Observation Status,AdministrationPanel,AdministrationPanel/Memo_Status,3,I,0,,Memo_Status,
78,78,4,Pre Audit/Inspection Information,Execution,Execution/pre_audit_info,3,A,0,,pre_audit_info,
80,80,4,Pre Audit Infrormation Detail,Execution,Execution/pre_audit_info_detail,9,A,0,,pre_audit_info_detail,
81,81,4,GL Head Summary,Reports,Reports/glhead_summary,15,A,1,,glhead_summary,
82,82,4,Income Expenditure Report,Reports,Reports/income_expenditure,23,A,1,,income_expenditure,
87,87,4,Loan Case Details,Execution,Execution/loan_case_details,20,A,1,,loan_case_details,
88,88,4,Branch Deposit Information,Execution,Execution/branch_deposit_info,21,A,1,,branch_deposit_info,
89,89,4,Disbursement Information,Execution,Execution/disb_info,22,A,1,,disb_info,
215,215,10,Observation Reversal / Re-Numbering,AdministrationPanel,AdministrationPanel/setup_observation_reversal,7,A,0,,setup_observation_reversal,215
248,248,16,Entity wise Observations Detail,Dashboard,Dashboard/entity_wise_obs_detail,1,A,1,,entity_wise_obs_detail,248
