Source type,Source file,Function/button/event/action name,URL/API endpoint called,Controller name,Controller action method,DBConnection method called,DBConnection file,Package name,Procedure name,Procedure exists in package spec,Procedure exists in package body,Active usage confirmed,"Replacement method/procedure, if any",Final action,Remarks
JS,AIS\wwwroot\js\circular.js:7,GetCirculars,/ApiCalls/GetCirculars,ApiCalls,GetCirculars,,,,,,,Yes,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\fieldauditparaSection.js:48,process_details,/Setup/process_details,Setup,process_details,GetRiskProcessDetails,AIS\DBConnection.AD.cs,pkg_ad,P_GetRiskProcessDetails,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\fieldauditparaSection.js:66,process_transactions,/Setup/process_transactions,Setup,process_transactions,GetRiskProcessTransactions,AIS\DBConnection.AD.cs,pkg_ad,P_GetRiskProcessTransactions,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\home-change-password.js:130,DoChangePassword,/Home/DoChangePassword,Home,DoChangePassword,ChangePasswordForUser,AIS\DBConnection.cs,pkg_lg,P_ChangePassword,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\idleSessionHandler.js:28,terminate_idle_session,/ApiCalls/terminate_idle_session,ApiCalls,terminate_idle_session,TerminateIdleSession,AIS\DBConnection.cs,pkg_lg,Session_Kill,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\login.js:83,ResetPassword,/Login/ResetPassword,Login,ResetPassword,ResetUserPassword,AIS\DBConnection.AD.cs,pkg_ad,RESET_USER_PASSWORD,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\login.js:170,DoLogin,/Login/DoLogin,Login,DoLogin,ApplyLoginContext,AIS\DBConnection.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\login.js:170,DoLogin,/Login/DoLogin,Login,DoLogin,AutheticateLogin,AIS\DBConnection.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:808,GetManualMaster,/ApiCalls/GetManualMaster,ApiCalls,GetManualMaster,GetManualMaster,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:825,GetManualSections,/ApiCalls/GetManualSections,ApiCalls,GetManualSections,GetManualSections,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:842,GetManualChapters,/ApiCalls/GetManualChapters,ApiCalls,GetManualChapters,GetManualChapters,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:857,GetManualIndexByChapter,/ApiCalls/GetManualIndexByChapter,ApiCalls,GetManualIndexByChapter,GetManualIndexByChapter,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:925,GetParaReferenceData,/ApiCalls/GetParaReferenceData,ApiCalls,GetParaReferenceData,GetParaReferenceData,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:932,SearchReferences,/ApiCalls/SearchReferences,ApiCalls,SearchReferences,SearchReferences,AIS\DBConnection.FAD.cs,PKG_FAD,P_SearchReferences,Yes,Yes,Yes,,Needs manual review,"Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\obsreference.js:968,GetReferenceDetail,/ApiCalls/GetReferenceDetail,ApiCalls,GetReferenceDetail,GetReferenceDetail,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\obsreference.js:1075,SaveParaReferences,/ApiCalls/SaveParaReferences,ApiCalls,SaveParaReferences,SaveParaReferences,AIS\DBConnection.FAD.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySection.js:141,GetResponsiblePPNOforoldPara,/ApiCalls/GetResponsiblePPNOforoldPara,ApiCalls,GetResponsiblePPNOforoldPara,GetResponsiblePPNOforoldPara,AIS\DBConnection.FAD.cs,pkg_ar,GetResponsiblePPNOforoldPara,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySection.js:166,get_responsible_person_list,/ApiCalls/get_responsible_person_list,ApiCalls,get_responsible_person_list,GetResponsiblePersonsList,AIS\DBConnection.AR.cs,pkg_ar,P_Get_responsibility,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySection.js:198,get_responsible_by_pp,/ApiCalls/get_responsible_by_pp,ApiCalls,get_responsible_by_pp,GetEmployeeNameFromPPNO,AIS\DBConnection.AR.cs,pkg_ar,P_get_employees_information,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySection.js:238,get_responsible_by_lc,/ApiCalls/get_responsible_by_lc,ApiCalls,get_responsible_by_lc,GetLoanCaseDetailsWithBRCode,AIS\DBConnection.AR.cs,pkg_ar,P_GET_LC_DETAILS,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySection.js:342,add_responsible_for_old_paras,/ApiCalls/add_responsible_for_old_paras?IND_Action=,ApiCalls,add_responsible_for_old_paras,AddResponsibilityforoldparas,AIS\DBConnection.FAD.cs,pkg_ar,P_responibilityforoldpara,Yes,Yes,Yes,,Keep,
