JS file,View/layout using it,JS function/event,API URL,HTTP method,Controller/action,Controller parameters,JS parameters,DBConnection method,Package/procedure,Package spec exists,Package body exists,DB hardening,Status,Issue found,Recommended fix
AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_ent_audit_dept.js:109,AIS\Views\AdministrationPanel\manage_ent_audit_dept.cshtml:117,saveChangesManageEntityAuditDepartment,/ApiCalls/add_manage_entities_audit_department,POST,ApiCalls.add_manage_entities_audit_department,ENT_AUD_DEPT_MODEL,ENT_AUD_DEPT_MODEL,AddManageEntityAuditDepartment,pkg_ad.P_add_Entities_Audit_Department,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: pkg_ad.P_add_Entities_Audit_Department,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_AdministrationPanel_SystemLogs.js:91,AIS\Views\AdministrationPanel\SystemLogs.cshtml:104,deleteOldSystemLogs,/AdministrationPanel/DeleteSystemLogs,POST,AdministrationPanel.DeleteSystemLogs,cutoffTime,cutoffTime,DeleteOldSystemLogs,PKG_LG.P_DELETE_SYS_LOGS,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,Package procedure missing from checked-in source: PKG_LG.P_DELETE_SYS_LOGS,Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:326,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditOms,/ApiCalls/get_commercial_audit_oms,GET,ApiCalls.get_commercial_audit_oms,,,GetCommercialAuditOms,PKG_COMMERCIAL_AUDIT.P_GET_OMS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_OMS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:451,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditOm,/ApiCalls/save_commercial_audit_om,POST,ApiCalls.save_commercial_audit_om,model,,SaveCommercialAuditOm,PKG_COMMERCIAL_AUDIT.P_SAVE_OM,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_OM,Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:510,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdpOmLookup,/ApiCalls/get_commercial_audit_oms,GET,ApiCalls.get_commercial_audit_oms,,,GetCommercialAuditOms,PKG_COMMERCIAL_AUDIT.P_GET_OMS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_OMS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:527,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdps,/ApiCalls/get_commercial_audit_pdps,GET,ApiCalls.get_commercial_audit_pdps,,,GetCommercialAuditPdps,PKG_COMMERCIAL_AUDIT.P_GET_PDPS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_PDPS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:711,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditPdp,/ApiCalls/save_commercial_audit_pdp,POST,ApiCalls.save_commercial_audit_pdp,model,,SaveCommercialAuditPdp,PKG_COMMERCIAL_AUDIT.P_SAVE_PDP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_PDP",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:740,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdpMappings,/ApiCalls/get_commercial_audit_pdp_om_mappings,GET,ApiCalls.get_commercial_audit_pdp_om_mappings,pdp_id,pdp_id,GetCommercialAuditPdpMappings,PKG_COMMERCIAL_AUDIT.P_GET_PDP_OM_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_PDP_OM_MAP","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:769,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditPdpMappings,/ApiCalls/save_commercial_audit_pdp_om_mapping,POST,ApiCalls.save_commercial_audit_pdp_om_mapping,model,,SaveCommercialAuditPdpMappings,PKG_COMMERCIAL_AUDIT.P_SAVE_PDP_OM_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_PDP_OM_MAP",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:811,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdpLookupForArpse,/ApiCalls/get_commercial_audit_pdps,GET,ApiCalls.get_commercial_audit_pdps,,,GetCommercialAuditPdps,PKG_COMMERCIAL_AUDIT.P_GET_PDPS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_PDPS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
