JS file,View/layout using it,JS function/event,API URL,HTTP method,Controller/action,Controller parameters,JS parameters,DBConnection method,Package/procedure,Package spec exists,Package body exists,DB hardening,Status,Issue found,Recommended fix
AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js:21,AIS\Views\AdministrationPanel\ais_post_compliance.cshtml:111,getrelation,/ApiCalls/getparentrel,POST,ApiCalls.getparentrel,ENTITY_REALTION_ID,"ENTITY_REALTION_ID, option",Getparentrepoffice,pkg_ad.P_Getparentrepoffice,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,JS sends parameters not present in controller signature: option,Remove unused JS data keys or add explicit controller parameters if expected.
AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js:57,AIS\Views\AdministrationPanel\ais_post_compliance.cshtml:111,getplacepost,/ApiCalls/getpostplace,POST,ApiCalls.getpostplace,E_R_ID,"E_R_ID, option",Getchildposting,pkg_ad.P_Getchildposting,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,JS sends parameters not present in controller signature: option,Remove unused JS data keys or add explicit controller parameters if expected.
AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js:85,AIS\Views\AdministrationPanel\ais_post_compliance.cshtml:111,getPostCompliance,/ApiCalls/get_ais_post_compliance_details,POST,ApiCalls.get_ais_post_compliance_details,ENT,"ENT, option",GetAisPostComplianceDetails,pkg_ad.P_get_latest_para_details,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Needs manual review,JS sends parameters not present in controller signature: option,Remove unused JS data keys or add explicit controller parameters if expected.
AIS\wwwroot\js\csp\Views_AdministrationPanel_ais_post_compliance.js:128,AIS\Views\AdministrationPanel\ais_post_compliance.cshtml:111,submitUpdate,/ApiCalls/update_ais_post_compliance,POST,ApiCalls.update_ais_post_compliance,model,,UpdateAisPostCompliance,pkg_ad.P_Update_para_AIS_post_compliance,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:105,AIS\Views\AdministrationPanel\api_master.cshtml:114,loadControllerOptions,/Administration/ApiMaster/ControllerOptions,GET,ApiMaster.ControllerOptions,,,GetApiMasterControllerNames,PKG_AD.P_GET_ALL_CONTROLLER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:160,AIS\Views\AdministrationPanel\api_master.cshtml:114,loadAllPages,/ApiCalls/get_menu_pages_for_admin_panel,POST,ApiCalls.get_menu_pages_for_admin_panel,"M_ID, SM_ID","M_ID, SM_ID",GetMenuPagesForAdminPanel,pkg_ad.P_GET_ALL_PAGES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:185,AIS\Views\AdministrationPanel\api_master.cshtml:114,loadApiMasterList,/Administration/ApiMaster/List,GET,ApiMaster.List,,,GetApiMasterList,PKG_AD.P_GET_API_MASTER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:291,AIS\Views\AdministrationPanel\api_master.cshtml:114,populateSubMenuDropdown,/ApiCalls/get_sub_menu_for_admin_panel,POST,ApiCalls.get_sub_menu_for_admin_panel,M_ID,M_ID,GetSubMenusForAdminPanel,pkg_ad.P_GET_SUB_MENUS,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:321,AIS\Views\AdministrationPanel\api_master.cshtml:114,populatePageDropdown,/ApiCalls/get_menu_pages_for_admin_panel,POST,ApiCalls.get_menu_pages_for_admin_panel,"M_ID, SM_ID","M_ID, SM_ID",GetMenuPagesForAdminPanel,pkg_ad.P_GET_ALL_PAGES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:367,AIS\Views\AdministrationPanel\api_master.cshtml:114,saveApiMaster,/Administration/ApiMaster/Save,POST,ApiMaster.Save,request,,MaintainApiMaster,PKG_AD.P_MAINT_API_MASTER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:408,AIS\Views\AdministrationPanel\api_master.cshtml:114,disableApiMaster,/Administration/ApiMaster/Save,POST,ApiMaster.Save,request,,MaintainApiMaster,PKG_AD.P_MAINT_API_MASTER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js:12,AIS\Views\AdministrationPanel\audit_comp_management.cshtml:104,getrelation,/ApiCalls/getparentrel,POST,ApiCalls.getparentrel,ENTITY_REALTION_ID,"ENTITY_REALTION_ID, option",Getparentrepoffice,pkg_ad.P_Getparentrepoffice,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,JS sends parameters not present in controller signature: option,Remove unused JS data keys or add explicit controller parameters if expected.
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js:48,AIS\Views\AdministrationPanel\audit_comp_management.cshtml:104,getplacepost,/ApiCalls/getpostplace,POST,ApiCalls.getpostplace,E_R_ID,"E_R_ID, option",Getchildposting,pkg_ad.P_Getchildposting,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,JS sends parameters not present in controller signature: option,Remove unused JS data keys or add explicit controller parameters if expected.
