Source type,Source file,Function/button/event/action name,URL/API endpoint called,Controller name,Controller action method,DBConnection method called,DBConnection file,Package name,Procedure name,Procedure exists in package spec,Procedure exists in package body,Active usage confirmed,"Replacement method/procedure, if any",Final action,Remarks
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_para_reply_cad.js:35,get_old_para_management,/ApiCalls/get_old_para_management,ApiCalls,get_old_para_management,GetOldParasManagement,AIS\DBConnection.AE.cs,pkg_ae,P_GetOldParaManagement,No,No,No,,Needs DB extraction,Procedure not fully present in checked-in package source.
JS,AIS\wwwroot\js\Archive\Views_Execution_branch_deposit_info.js:21,GetDepositAccountSubdetails,/ApiCalls/GetDepositAccountSubdetails,ApiCalls,GetDepositAccountSubdetails,GetDepositAccountSubdetails,AIS\DBConnection.cs,pkg_ai,P_GetDepositAccountSubdetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_deposit_account_details.js:6,GetDepositAccountcatdetails,/ApiCalls/GetDepositAccountcatdetails,ApiCalls,GetDepositAccountcatdetails,GetDepositAccountcatdetails,AIS\DBConnection.cs,pkg_AIS,P_GetDepositACCOUNTCATEGORY_details,No,No,No,,Needs manual review,"Procedure not fully present in checked-in package source.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_disb_info.js:21,GetBranchDesbursementaccountdetails,/ApiCalls/GetBranchDesbursementaccountdetails,ApiCalls,GetBranchDesbursementaccountdetails,GetBranchDesbursementAccountdetails,AIS\DBConnection.cs,pkg_ai,P_GetBranchDesbursementAccountdetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_loan_case_details.js:19,Loan_Case_Details,/ApiCalls/Loan_Case_Details,ApiCalls,Loan_Case_Details,GetLoanCaseDetails,AIS\DBConnection.cs,pkg_ai,P_GetLoanCaseDetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_loan_case_document.js:20,Getloancasedocuments,/ApiCalls/Getloancasedocuments,ApiCalls,Getloancasedocuments,GetLoanCaseDocuments,AIS\DBConnection.cs,pkg_ais,P_GetLoanCaseDocuments,No,Yes,No,,Needs manual review,"Procedure not fully present in checked-in package source.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Reports_income_expenditure.js:25,GetIncomeExpenceDetails,/ApiCalls/GetIncomeExpenceDetails,ApiCalls,GetIncomeExpenceDetails,GetIncomeExpenceDetails,AIS\DBConnection.cs,pkg_ai,P_GetIncomeExpenceDetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_ent_audit_dept.js:110,add_manage_entities_audit_department,/ApiCalls/add_manage_entities_audit_department,ApiCalls,add_manage_entities_audit_department,AddManageEntityAuditDepartment,AIS\DBConnection.AD.cs,pkg_ad,P_add_Entities_Audit_Department,No,No,Yes,,Needs DB extraction,Procedure not fully present in checked-in package source.
JS,AIS\wwwroot\js\csp\Views_AdministrationPanel_SystemLogs.js:92,DeleteSystemLogs,/AdministrationPanel/DeleteSystemLogs,AdministrationPanel,DeleteSystemLogs,DeleteOldSystemLogs,AIS\DBConnection.LG.cs,PKG_LG,P_DELETE_SYS_LOGS,No,No,Yes,,Needs DB extraction,Procedure not fully present in checked-in package source.
JS,AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:327,get_commercial_audit_oms,/ApiCalls/get_commercial_audit_oms,ApiCalls,get_commercial_audit_oms,GetCommercialAuditOms,AIS\DBConnection.CAU.cs,PKG_COMMERCIAL_AUDIT,P_GET_OMS,No,No,Yes,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:452,save_commercial_audit_om,/ApiCalls/save_commercial_audit_om,ApiCalls,save_commercial_audit_om,SaveCommercialAuditOm,AIS\DBConnection.CAU.cs,PKG_COMMERCIAL_AUDIT,P_SAVE_OM,No,No,Yes,,Needs manual review,Package SQL source file not found.; Missing GuardAgainstDynamicSql
JS,AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:511,get_commercial_audit_oms,/ApiCalls/get_commercial_audit_oms,ApiCalls,get_commercial_audit_oms,GetCommercialAuditOms,AIS\DBConnection.CAU.cs,PKG_COMMERCIAL_AUDIT,P_GET_OMS,No,No,Yes,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:528,get_commercial_audit_pdps,/ApiCalls/get_commercial_audit_pdps,ApiCalls,get_commercial_audit_pdps,GetCommercialAuditPdps,AIS\DBConnection.CAU.cs,PKG_COMMERCIAL_AUDIT,P_GET_PDPS,No,No,Yes,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:712,save_commercial_audit_pdp,/ApiCalls/save_commercial_audit_pdp,ApiCalls,save_commercial_audit_pdp,SaveCommercialAuditPdp,AIS\DBConnection.CAU.cs,PKG_COMMERCIAL_AUDIT,P_SAVE_PDP,No,No,Yes,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
