DBConnection method,active_reference_count,references
AddOldParasComplianceReviewer,3,"AIS\DBConnection.AE.cs:1406:public string AddOldParasComplianceReviewer(string Para_ID, string PARA_CAT, string Reply, string r_status, string OBS_I | AIS\Controllers\ApiCallsController.cs:2452:public string AddOldParasComplianceReviewer(string Para_ID, string PARA_CAT, string REPLY, string r_status, string OBS_I | AIS\Controllers\ApiCallsController.cs:2455:response = dBConnection.AddOldParasComplianceReviewer(Para_ID, PARA_CAT, REPLY, r_status, OBS_ID, PARENT_ID, SEQUENCE, A"
AddOldParasStatusPartiallySettle,2,"AIS\DBConnection.HD.cs:1055:public string AddOldParasStatusPartiallySettle(string OBS_ID, string REFID, string REMARKS, int NEW_STATUS, string PARA_ | AIS\Controllers\ApiCallsController.cs:2491:response = dBConnection.AddOldParasStatusPartiallySettle(OBS_ID, REFID, REMARKS, NEW_STATUS, PARA_CAT, SETTLE_INDICATOR,"
AddOldParasStatusUpdate,2,"AIS\DBConnection.HD.cs:1015:public string AddOldParasStatusUpdate(string OBS_ID, string REFID, string REMARKS, int NEW_STATUS, string PARA_CATEGORY, | AIS\Controllers\ApiCallsController.cs:2483:response = dBConnection.AddOldParasStatusUpdate(OBS_ID, REFID, REMARKS, NEW_STATUS, PARA_CAT, SETTLE_INDICATOR, SEQUENCE"
AddOldParasheadStatusUpdate,2,"AIS\DBConnection.HD.cs:1128:public string AddOldParasheadStatusUpdate(int PARA_ID, string REMARKS, int NEW_STATUS, string PARA_REF, string PARA_INDI | AIS\Controllers\ApiCallsController.cs:2506:response = dBConnection.AddOldParasheadStatusUpdate(PARA_ID, REMARKS, NEW_STATUS, PARA_REF, PARA_INDICATOR, PARA_CATEGOR"
AuditeeOldParaResponse,2,AIS\DBConnection.cs:3681:public bool AuditeeOldParaResponse(AuditeeOldParasResponseModel ob) | AIS\Controllers\ApiCallsController.cs:2069:return dBConnection.AuditeeOldParaResponse(ob);
GetAuditBudget,2,AIS\DBConnection.AD.cs:6787:public List<FADAuditBudgetModel> GetAuditBudget() | AIS\Controllers\ApiCallsController.cs:4614:return dBConnection.GetAuditBudget();
GetBranchDesbursementAccountdetails,2,AIS\DBConnection.cs:3230:public List<LoanCaseModel> GetBranchDesbursementAccountdetails(int bid = 0) | AIS\Controllers\ApiCallsController.cs:1725:return dBConnection.GetBranchDesbursementAccountdetails(b_id);
GetComplianceForImpZone,2,AIS\DBConnection.HD.cs:823:public List<GetOldParasforComplianceSettlement> GetComplianceForImpZone() | AIS\Controllers\ApiCallsController.cs:2470:return dBConnection.GetComplianceForImpZone();
GetComplianceHistoryCountAuditee,1,"AIS\DBConnection.AE.cs:1541:public string GetComplianceHistoryCountAuditee(string REF_P, string OBS_ID)"
GetComplianceTextAuditee,2,"AIS\DBConnection.AE.cs:1517:public string GetComplianceTextAuditee(int COMPLIANCE_ID) | AIS\Controllers\ApiCallsController.cs:3071:return ""{\""Status\"":true,\""Message\"":\"""" + dBConnection.GetComplianceTextAuditee(COMPLIANCE_ID) + ""\""}"";"
GetDepositAccountSubdetails,4,"AIS\DBConnection.archive.cs:76:public List<DepositAccountModel> GetDepositAccountSubdetails(string branchName) => _dbConnection.GetDepositAccountSubdet | AIS\DBConnection.cs:3168:public List<DepositAccountModel> GetDepositAccountSubdetails(string bname = """") | AIS\Controllers\ApiCallsController.cs:1712:public List<DepositAccountModel> GetDepositAccountSubdetails(string b_name) | AIS\Controllers\ApiCallsController.cs:1714:return archiveDbConnection.GetDepositAccountSubdetails(b_name);"
GetDepositAccountcatdetails,4,AIS\DBConnection.archive.cs:77:public List<DepositAccountCatDetailsModel> GetDepositAccountcatdetails(int categoryId) => _dbConnection.GetDepositAccoun | AIS\DBConnection.cs:4079:public List<DepositAccountCatDetailsModel> GetDepositAccountcatdetails(int catid = 0) | AIS\Controllers\ApiCallsController.cs:1717:public List<DepositAccountCatDetailsModel> GetDepositAccountcatdetails(int catid) | AIS\Controllers\ApiCallsController.cs:1719:return archiveDbConnection.GetDepositAccountcatdetails(catid);
GetDepositAccountdetails,1,AIS\DBConnection.cs:3133:public List<DepositAccountModel> GetDepositAccountdetails()
GetDepositCat,3,"AIS\DBConnection.archive.cs:34:public object GetDepositCat() => _dbConnection.GetDepositCat(); | AIS\DBConnection.cs:4037:public List<DepositAccountCatModel> GetDepositCat() | AIS\Controllers\ArchiveController.cs:214:ViewData[""Depositcat""] = archiveDbConnection.GetDepositCat();"
